Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
01 JULAI, 2022,Arusha,Arusha,90000,92000,200000,250000,80000,80000,80000,80000,135000,120000,135000,140000,165000,230000,90000,85000
01 JULAI, 2022,Dar es Salaam,Kinondoni,90000,110000,200000,240000,100000,120000,90000,95000,170000,150000,180000,220000,220000,240000,85000,90000
01 JULAI, 2022,Dodoma,Kibaigwa,85000,86000,200000,220000,55000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
01 JULAI, 2022,Iringa,Iringa,65000,75000,170000,200000,NA,NA,NA,NA,NA,NA,NA,NA,170000,190000,70000,70000
01 JULAI, 2022,Kagera,Bukoba,105000,110000,180000,210000,120000,130000,140000,150000,160000,170000,200000,220000,110000,150000,65000,70000
01 JULAI, 2022,Katavi,Mpanda,85000,90000,170000,200000,NA,NA,NA,NA,NA,NA,NA,NA,165000,200000,65000,50000
01 JULAI, 2022,Lindi,Lindi,70000,70000,195000,250000,180000,200000,NA,NA,200000,200000,NA,NA,200000,200000,90000,90000
01 JULAI, 2022,Manyara,Babati,85000,90000,200000,240000,100000,120000,90000,100000,140000,120000,180000,200000,222000,240000,95000,95000
01 JULAI, 2022,Mara,Musoma,100000,110000,160000,170000,110000,120000,140000,160000,140000,160000,NA,NA,140000,150000,120000,100000
01 JULAI, 2022,Morogoro,Morogoro,82000,82000,220000,230000,150000,150000,150000,150000,190000,190000,180000,220000,200000,200000,85000,80000
01 JULAI, 2022,Mtwara,Mtwara,68000,69000,180000,220000,95000,100000,NA,NA,180000,180000,NA,NA,195000,200000,NA,NA
01 JULAI, 2022,Mwanza,Mkoa,110000,120000,200000,290000,150000,180000,150000,200000,180000,200000,NA,NA,195000,250000,90000,85000
01 JULAI, 2022,Njombe,Njombe,62000,72000,200000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,45000,50000
01 JULAI, 2022,Rukwa,Sumbawanga,60000,65000,125000,160000,NA,NA,NA,NA,150000,140000,160000,175000,135000,160000,60000,75000
01 JULAI, 2022,Ruvuma,Songea,55000,60000,180000,220000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,75000,75000
01 JULAI, 2022,Tanga,Tanga,94500,95000,217000,219000,99500,100000,99000,100000,145000,158000,198000,200000,199000,200000,90000,91000
01 JULAI, 2022,Tabora,Tabora,78000,80000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,200000,220000,90000,100000
