Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,Potatoes_MinPrice,Potatoes_MaxPrice
15 JULAI, 2022,Arusha,Arusha,100000,103000,200000,250000,70000,75000,70000,75000,120000,125000,140000,150000,155000,220000,85000,80000
15 JULAI, 2022,"Dar es Salaam",Kinondoni,85000,130000,200000,240000,110000,120000,110000,110000,170000,160000,200000,200000,220000,260000,85000,80000
15 JULAI, 2022,Dodoma,Majengo,90000,98000,215000,250000,68000,70000,85000,90000,145000,156000,NA,NA,198000,220000,65500,85000
15 JULAI, 2022,Dodoma,Kibaigwa,85000,86000,200000,220000,55000,60000,NA,NA,NA,NA,NA,NA,200000,200000,NA,NA
15 JULAI, 2022,Iringa,Iringa,80000,80000,170000,200000,100000,100000,150000,150000,150000,150000,180000,180000,170000,190000,90000,90000
15 JULAI, 2022,Kagera,Bukoba,114000,118000,188000,210000,120000,130000,150000,160000,170000,160000,230000,250000,180000,220000,80000,70000
15 JULAI, 2022,Katavi,Mpanda,85000,90000,170000,200000,NA,NA,NA,NA,NA,NA,NA,NA,165000,200000,90000,90000
15 JULAI, 2022,Lindi,Lindi,70000,70000,190000,240000,180000,180000,NA,NA,200000,200000,NA,NA,190000,200000,110000,110000
15 JULAI, 2022,Manyara,Babati,90000,102000,200000,240000,100000,120000,90000,100000,120000,140000,180000,200000,210000,240000,95000,95000
15 JULAI, 2022,Mara,Musoma,100000,110000,160000,170000,110000,120000,140000,160000,140000,160000,NA,NA,140000,150000,120000,100000
15 JULAI, 2022,Shinyanga,Shinyanga,95000,95000,190000,190000,NA,NA,90000,90000,180000,180000,170000,170000,180000,180000,70000,70000
15 JULAI, 2022,Morogoro,Morogoro,82000,82000,220000,230000,150000,150000,150000,150000,190000,190000,200000,220000,200000,200000,85000,80000
15 JULAI, 2022,Mtwara,Mtwara,78000,78000,180000,200000,100000,100000,NA,NA,180000,180000,NA,NA,195000,200000,70000,75000
15 JULAI, 2022,Mwanza,Mwanza,101000,102500,190000,290000,200000,260000,150000,180000,180000,200000,NA,NA,190000,290000,90000,90000
15 JULAI, 2022,Njombe,Njombe,62000,72000,200000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,50000,45000
15 JULAI, 2022,Rukwa,Sumbawanga,65000,70000,130000,160000,NA,NA,NA,NA,150000,170000,150000,170000,140000,160000,55000,80000
15 JULAI, 2022,Ruvuma,Songea,58000,62000,180000,220000,NA,NA,NA,NA,NA,NA,NA,NA,160000,180000,85000,80000
15 JULAI, 2022,Tanga,Tanga,95000,97000,190000,214000,99500,105000,100000,105000,148000,159000,199000,200000,200000,200000,90000,85000
15 JULAI, 2022,Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,190000,180000,NA,NA,200000,220000,90000,100000
