Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
Arusha,Arusha,95000,100000,200000,250000,70000,80000,70000,80000,127000,130000,140000,170000,150000,200000,80000,85000
Dar es Salaam,Kinondoni,85000,110000,85000,230000,100000,110000,110000,110000,160000,160000,200000,200000,240000,260000,70000,70000
Dodoma,Majengo,90000,98000,215000,250000,63000,70000,85000,90000,145000,156000,182000,182400,198000,220000,65500,85000
Iringa,Iringa,80000,80000,170000,210000,100000,100000,150000,150000,150000,150000,180000,180000,170000,170000,90000,90000
Kagera,Bukoba,110000,112000,180000,240000,130000,150000,130000,150000,150000,160000,220000,240000,180000,220000,70000,85000
Manyara,Babati,84000,96000,200000,240000,80000,120000,80000,100000,120000,160000,200000,240000,210000,240000,90000,90000
Morogoro,Morogoro,82000,82000,220000,230000,150000,150000,150000,150000,190000,190000,200000,220000,200000,200000,80000,85000
Mtwara,Mtwara,78000,78000,190000,200000,100000,100000,NA,NA,180000,180000,NA,NA,190000,200000,70000,75000
Mwanza,Mwanza,102500,105000,190000,280000,150000,180000,150000,180000,180000,200000,NA,NA,210000,260000,85000,90000
Rukwa,Sumbawanga,65000,70000,125000,160000,NA,NA,NA,NA,150000,170000,160000,170000,175000,190000,60000,80000
Ruvuma,Songea,60000,62000,180000,190000,NA,NA,NA,NA,NA,NA,NA,NA,170000,200000,80000,85000
Shinyanga,Shinyanga,70000,75000,200000,250000,90000,100000,90000,100000,NA,NA,130000,140000,170000,180000,80000,90000
Tabora,Tabora,85000,86000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,200000,220000,90000,100000
