Region,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Max Price,Sorghum Min Price,Bulrush Millet Max Price,Bulrush Millet Min Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,95000,100000,200000,250000,70000,80000,80000,70000,127000,130000,140000,170000,150000,200000,80000,85000
Dodoma,Majengo,90000,98000,215000,250000,63000,70000,90000,85000,145000,156000,182000,182400,198000,220000,65500,85000
Kagera,Bukoba,110000,112000,180000,240000,130000,150000,130000,150000,150000,160000,220000,240000,180000,220000,70000,85000
Lindi,Lindi,70000,70000,200000,240000,180000,180000,NA,NA,200000,200000,380000,400000,210000,210000,110000,110000
Manyara,Babati,84000,96000,200000,240000,80000,120000,80000,100000,120000,160000,200000,240000,210000,240000,90000,90000
Mara,Musoma,105000,115000,170000,180000,115000,125000,140000,160000,150000,160000,NA,NA,140000,150000,100000,120000
Morogoro,Morogoro,82000,109000,220000,230000,150000,150000,150000,150000,190000,190000,220000,220000,220000,220000,85000,85000
Mtwara,Mtwara,78000,78000,200000,280000,100000,100000,NA,NA,180000,180000,NA,NA,195000,200000,75000,80000
Mwanza,Mwanza,102500,105000,190000,280000,150000,180000,150000,180000,180000,200000,NA,NA,210000,260000,85000,90000
Njombe,Njombe,66000,72000,200000,250000,NA,NA,NA,NA,200000,220000,180000,200000,150000,200000,50000,60000
Rukwa,Sumbawanga,65000,70000,130000,160000,NA,NA,NA,NA,140000,170000,160000,170000,175000,190000,70000,80000
Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,200000,220000,90000,100000
Tanga,Tanga,96000,97000,190000,214000,99500,105000,105000,100000,148000,159000,199000,200000,200000,200000,83000,83000
