Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Millet Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Max Price,Irish Potatoes Min Price
2022-08-01,Arusha,Arusha,95000,97000,200000,250000,70000,75000,75000,70000,120000,125000,NA,NA,150000,200000,90000,85000
2022-08-01,Dodoma,Majengo,85000,92000,210000,255000,56000,70000,84000,86000,145000,150000,180000,182400,198000,230000,65000,85000
2022-08-01,Kagera,Bukoba,108000,110000,190000,240000,150000,170000,160000,150000,160000,150000,200000,220000,160000,230000,85000,70000
2022-08-01,Manyara,Manyara,80000,90000,200000,240000,90000,110000,90000,110000,130000,120000,210000,230000,180000,210000,85000,80000
2022-08-01,Mara,Musoma,105000,115000,170000,180000,115000,125000,160000,140000,160000,150000,NA,NA,140000,150000,120000,100000
2022-08-01,Morogoro,Morogoro,82000,93000,220000,230000,120000,120000,120000,120000,180000,180000,220000,220000,190000,190000,85000,80000
2022-08-01,Mtwara,Mtwara,78000,78000,200000,240000,100000,100000,NA,NA,NA,NA,NA,NA,200000,210000,70000,75000
2022-08-01,Mwanza,Mwanza,105000,110000,180000,270000,150000,180000,150000,200000,180000,200000,NA,NA,200000,260000,85000,90000
2022-08-01,Rukwa,Sumbawanga,60000,70000,120000,160000,NA,NA,NA,NA,170000,140000,150000,170000,175000,200000,80000,60000
2022-08-01,Ruvuma,Songea,60000,62000,160000,220000,NA,NA,NA,NA,NA,NA,NA,NA,170000,200000,85000,80000
2022-08-01,Tanga,Tanga,96000,97000,190000,210000,99500,105000,105000,100000,148000,159000,199000,200000,200000,200000,83000,83000
