Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
03rd AUGUST, 2022,Arusha,Arusha,90000,93000,200000,250000,70000,75000,70000,75000,120000,125000,NA,NA,150000,200000,85000,90000
03rd AUGUST, 2022,Dodoma,Majengo,85000,92000,210000,255000,56000,70000,84000,86000,145000,150000,180000,182400,198000,230000,65000,85000
03rd AUGUST, 2022,Iringa,Iringa,70000,70000,170000,220000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,85000,85000
03rd AUGUST, 2022,Kagera,Bukoba,108000,110000,190000,240000,150000,170000,150000,160000,150000,160000,200000,220000,160000,230000,85000,70000
03rd AUGUST, 2022,Manyara,Manyara,80000,90000,200000,240000,90000,110000,90000,110000,130000,120000,210000,230000,180000,210000,85000,80000
03rd AUGUST, 2022,Mara,Musoma,105000,115000,170000,180000,115000,125000,140000,160000,160000,150000,NA,NA,140000,150000,100000,120000
03rd AUGUST, 2022,Mtwara,Mtwara,78000,78000,200000,240000,100000,100000,NA,NA,NA,NA,NA,NA,200000,210000,75000,70000
03rd AUGUST, 2022,Rukwa,Sumbawanga,60000,70000,120000,160000,NA,NA,NA,NA,170000,140000,150000,170000,175000,200000,60000,80000
03rd AUGUST, 2022,Ruvuma,Songea,60000,62000,160000,220000,NA,NA,NA,NA,NA,NA,NA,NA,170000,200000,85000,80000
03rd AUGUST, 2022,Tanga,Tanga,96000,97000,190000,210000,99500,105000,100000,105000,159000,148000,199000,200000,200000,200000,83000,83000
