Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
12th AUGUST, 2022,Arusha,Arusha,92000,94000,200000,250000,70000,75000,70000,75000,120000,125000,140000,160000,160000,240000,75000,80000
12th AUGUST, 2022,Dar es Salaam,Temeke,120000,120000,180000,260000,100000,120000,110000,120000,180000,170000,200000,200000,220000,220000,100000,100000
12th AUGUST, 2022,Dodoma,Majengo,85000,90000,215000,255000,58000,70000,83000,86000,152000,145000,180000,182400,198000,235000,90000,68000
12th AUGUST, 2022,Iringa,Iringa,70000,80000,170000,220000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,90000,90000
12th AUGUST, 2022,Kagera,Bukoba,110000,114000,190000,240000,150000,170000,150000,160000,160000,150000,200000,220000,180000,230000,85000,75000
12th AUGUST, 2022,Katavi,Mpanda,84000,85000,175000,180000,NA,NA,NA,NA,NA,NA,NA,NA,200000,230000,75000,75000
12th AUGUST, 2022,Lindi,Lindi,75000,80000,200000,250000,180000,180000,NA,NA,200000,200000,NA,NA,210000,210000,95000,90000
12th AUGUST, 2022,Manyara,Babati,80000,90000,200000,240000,90000,110000,90000,110000,130000,120000,210000,230000,210000,240000,80000,100000
12th AUGUST, 2022,Mwanza,Mwanza,110000,112000,180000,260000,150000,180000,150000,200000,180000,200000,NA,NA,225000,260000,90000,90000
12th AUGUST, 2022,Musoma,Mara,105000,115000,180000,200000,115000,125000,140000,160000,160000,150000,NA,NA,140000,150000,120000,100000
12th AUGUST, 2022,Morogoro,Morogoro,82000,91406,210000,220000,150000,150000,150000,150000,185000,190000,220000,220000,220000,220000,85000,85000
12th AUGUST, 2022,Mtwara,Mtwara,76000,76000,200000,240000,100000,100000,NA,NA,180000,180000,NA,NA,200000,210000,75000,70000
12th AUGUST, 2022,Njombe,Njombe,66000,72000,200000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,50000,60000
12th AUGUST, 2022,Rukwa,Sumbawanga,55000,66000,160000,180000,NA,NA,NA,NA,150000,180000,160000,170000,180000,200000,60000,80000
12th AUGUST, 2022,Ruvuma,Songea,60000,63000,170000,220000,NA,NA,NA,NA,NA,NA,NA,NA,170000,190000,80000,80000
12th AUGUST, 2022,Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,220000,230000,90000,100000
12th AUGUST, 2022,Tanga,Tanga,96000,97000,210000,210000,99500,105000,100000,105000,159000,148000,199000,200000,200000,200000,85000,85000
