Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,92000,98000,200000,250000,70000,75000,70000,75000,120000,125000,150000,170000,160000,240000,75000,80000
Dar es Salaam,Temeke,120000,120000,180000,260000,100000,120000,110000,120000,170000,180000,200000,200000,220000,220000,100000,100000
Dodoma,Majengo,83000,90000,215000,250000,58000,75000,84000,86500,125000,130000,180000,182400,190000,230000,68000,90000
Iringa,Iringa,70000,80000,170000,220000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,90000,90000
Kagera,Bukoba,108000,112000,190000,240000,150000,170000,150000,160000,150000,160000,200000,220000,180000,230000,85000,75000
Katavi,Mpanda,85000,90000,175000,200000,NA,NA,NA,NA,NA,NA,NA,NA,200000,230000,75000,75000
Manyara,Babati,80000,90000,200000,240000,90000,110000,90000,110000,120000,130000,210000,230000,210000,240000,80000,100000
Mwanza,Mwanza,110000,112000,180000,260000,150000,180000,150000,200000,180000,200000,NA,NA,225000,260000,90000,90000
Morogoro,Morogoro,82000,91406,210000,220000,150000,150000,150000,150000,185000,190000,220000,220000,220000,220000,85000,85000
Mtwara,Mtwara,76000,76000,200000,240000,100000,100000,NA,NA,180000,180000,NA,NA,200000,210000,70000,75000
Njombe,Njombe,72000,83000,200000,250000,NA,NA,NA,NA,200000,220000,180000,200000,150000,200000,60000,50000
Rukwa,Sumbawanga,50000,66000,160000,180000,NA,NA,NA,NA,160000,180000,170000,180000,180000,200000,65000,80000
Ruvuma,Songea,60000,63000,170000,220000,NA,NA,NA,NA,100000,150000,NA,NA,180000,190000,80000,80000
Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,220000,230000,100000,90000
Tanga,Tanga,96000,97000,210000,210000,99500,105000,100000,105000,148000,159000,199000,200000,200000,200000,85000,85000
