Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Date
Arusha,Arusha,92000,94000,200000,250000,75000,80000,75000,80000,125000,120000,160000,170000,160000,250000,75000,70000,19th AUGUST, 2022
Dar es Salaam,Temeke,120000,120000,180000,260000,100000,120000,110000,120000,180000,170000,200000,200000,220000,220000,100000,100000,19th AUGUST, 2022
Dodoma,Majengo,83000,90000,215000,250000,58000,75000,84000,86500,130000,125000,180000,182400,190000,230000,68000,90000,19th AUGUST, 2022
Iringa,Iringa,70000,80000,170000,220000,100000,100000,150000,150000,150000,150000,200000,180000,180000,220000,90000,90000,19th AUGUST, 2022
Kagera,Bukoba,105000,110000,190000,240000,150000,170000,150000,160000,160000,150000,220000,200000,180000,230000,85000,75000,19th AUGUST, 2022
Katavi,Mpanda,85000,90000,175000,200000,NA,NA,NA,NA,NA,NA,NA,200000,230000,75000,75000,19th AUGUST, 2022
Manyara,Babati,85000,90000,200000,240000,90000,110000,90000,110000,120000,130000,210000,230000,210000,240000,120000,120000,19th AUGUST, 2022
Morogoro,Morogoro,87500,89850,210000,220000,150000,150000,150000,150000,190000,185000,220000,220000,220000,220000,85000,85000,19th AUGUST, 2022
Mtwara,Mtwara,76000,76000,190000,220000,100000,100000,NA,NA,180000,180000,NA,NA,200000,210000,75000,70000,19th AUGUST, 2022
Njombe,Njombe,72000,83000,200000,250000,NA,NA,NA,NA,200000,220000,180000,200000,150000,200000,50000,60000,19th AUGUST, 2022
Rukwa,Sumbawanga,50000,66000,160000,180000,NA,NA,NA,NA,180000,160000,180000,170000,180000,200000,80000,65000,19th AUGUST, 2022
Ruvuma,Songea,60000,63000,170000,220000,NA,NA,NA,NA,150000,100000,NA,NA,180000,190000,80000,80000,19th AUGUST, 2022
Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,190000,NA,NA,220000,230000,90000,100000,19th AUGUST, 2022
Tanga,Tanga,97000,98000,190000,220000,99500,105000,100000,105000,159000,148000,200000,199000,200000,200000,85000,85000,19th AUGUST, 2022
