Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-08-24,Arusha,Arusha,98000,100000,200000,250000,70000,72000,70000,75000,125000,120000,140000,150000,250000,75000,70000
2022-08-24,Dar es Salaam,Temeke,120000,120000,180000,260000,100000,120000,110000,120000,180000,170000,200000,220000,240000,100000,100000
2022-08-24,Dodoma,Majengo,88000,92000,220000,256000,59000,78000,84500,86500,125000,134000,180000,182400,250000,90000,68000
2022-08-24,Iringa,Iringa,72000,75000,170000,220000,100000,100000,150000,150000,150000,150000,180000,200000,220000,60000,60000
2022-08-24,Kagera,Bukoba,105000,110000,195000,240000,150000,170000,150000,160000,150000,160000,200000,220000,220000,85000,75000
2022-08-24,Katavi,Mpanda,85000,90000,175000,200000,NA,NA,NA,NA,NA,NA,NA,200000,230000,75000,75000
2022-08-24,Kigoma,Kigoma,97200,97400,200000,220000,150000,170000,100000,100000,180000,180000,200000,200000,210000,90000,90000
2022-08-24,Lindi,Lindi,90000,110000,190000,240000,NA,NA,NA,NA,NA,NA,NA,200000,230000,90000,90000
2022-08-24,Manyara,Babati,85000,96000,200000,240000,90000,110000,90000,110000,130000,120000,210000,230000,240000,120000,120000
2022-08-24,Mara,Musoma,105000,115000,170000,180000,115000,125000,140000,160000,160000,150000,NA,NA,150000,120000,100000
2022-08-24,Mbeya,Mbeya,78000,78000,225000,230000,168000,168000,NA,NA,NA,NA,150000,150000,280000,68000,68000
2022-08-24,Morogoro,Morogoro,87500,91406,210000,220000,150000,170000,160000,170000,185000,170000,170000,230000,240000,90000,85000
2022-08-24,Mtwara,Mtwara,80000,80000,200000,230000,100000,100000,NA,NA,180000,180000,NA,NA,240000,70000,75000
2022-08-24,Njombe,Njombe,72000,83000,200000,250000,NA,NA,NA,NA,200000,180000,200000,150000,200000,50000,60000
2022-08-24,Rukwa,Sumbawanga,60000,66000,160000,180000,NA,NA,NA,NA,180000,170000,180000,180000,200000,65000,80000
2022-08-24,Ruvuma,Songea,60000,64000,180000,220000,NA,NA,NA,NA,150000,NA,NA,180000,190000,80000,75000
2022-08-24,Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,180000,NA,NA,220000,230000,90000,100000
2022-08-24,Tanga,Tanga,100000,120000,190000,220000,99500,105000,100000,105000,159000,148000,199000,200000,200000,70000,70000
