Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-09-05,Arusha,Arusha,98000,100000,200000,250000,75000,80000,75000,80000,120000,125000,148000,150000,150000,250000,75000,80000
2022-09-05,Dar es Salaam,Tandika,96000,120000,200000,270000,100000,120000,110000,120000,180000,170000,200000,220000,235000,300000,100000,102000
2022-09-05,Dodoma,Majengo,85000,94000,225000,260000,59000,78500,84000,86500,135000,125000,180000,182400,230000,280000,68500,90000
2022-09-05,Iringa,Iringa,80000,80000,170000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,70000,70000
2022-09-05,Kagera,Bukoba,107000,110000,194000,280000,160000,170000,160000,170000,190000,180000,200000,220000,180000,250000,80000,90000
2022-09-05,Katavi,Mpanda,87000,96000,175000,190000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,65000,65000
2022-09-05,Lindi,Lindi,85000,140000,200000,260000,120000,200000,NA,NA,NA,NA,NA,NA,220000,240000,95000,110000
2022-09-05,Morogoro,Morogoro,93750,97700,210000,250000,150000,170000,160000,170000,185000,170000,170000,190000,230000,240000,85000,90000
2022-09-05,Mwanza,Mwanza,110000,115000,220000,270000,150000,180000,150000,150000,180000,200000,NA,NA,250000,270000,85000,60000
2022-09-05,Njombe,Njombe,72000,83000,220000,250000,NA,NA,NA,NA,200000,220000,180000,200000,150000,200000,50000,75000
2022-09-05,Rukwa,Sumbawanga,70000,75000,160000,180000,NA,NA,NA,NA,180000,160000,160000,170000,180000,200000,60000,80000
2022-09-05,Ruvuma,Songea,68000,72000,200000,220000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,78000,90000
2022-09-05,Tabora,Tabora,82000,83000,190000,220000,140000,150000,NA,NA,190000,180000,184000,192000,220000,230000,80000,60000
