Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
12th SEPTEMBER, 2022,Arusha,Arusha,100000,110000,200000,250000,80000,NA,75000,75000,80000,120000,125000,148000,150000,200000,280000,75000,80000
12th SEPTEMBER, 2022,Dar es Salaam,Tandika,96000,120000,200000,270000,120000,100000,120000,110000,180000,170000,NA,NA,NA,235000,300000,100000,102000
12th SEPTEMBER, 2022,Dodoma,Majengo,90000,95000,235000,285000,58000,75500,72000,80000,130000,115000,180000,182400,250000,295000,69000,90000
12th SEPTEMBER, 2022,Iringa,Iringa,80000,80000,170000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,70000,70000
12th SEPTEMBER, 2022,Morogoro,Morogoro,93750,109600,270000,280000,170000,170000,170000,170000,185000,185000,180000,190000,280000,290000,85000,90000
12th SEPTEMBER, 2022,Kagera,Bukoba,110000,112000,220000,280000,160000,170000,170000,160000,180000,190000,200000,220000,200000,250000,80000,65000
12th SEPTEMBER, 2022,Katavi,Mpanda,87000,96000,175000,190000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,65000,115000
12th SEPTEMBER, 2022,Manyara,Babati,95000,108000,250000,300000,110000,90000,90000,110000,120000,130000,210000,230000,240000,252000,115000,48000
12th SEPTEMBER, 2022,Mbeya,Mbeya,78000,80000,220000,240000,168000,168000,NA,NA,NA,NA,160000,16000,210000,280000,44000,75000
12th SEPTEMBER, 2022,Mtwara,Mtwara,85000,85000,200000,230000,100000,100000,NA,NA,180000,180000,NA,NA,200000,240000,70000,90000
12th SEPTEMBER, 2022,Mwanza,Mwanza,110000,115000,220000,270000,180000,150000,150000,150000,180000,200000,NA,NA,250000,270000,85000,60000
12th SEPTEMBER, 2022,Njombe,Njombe,72000,83000,220000,250000,NA,NA,NA,NA,220000,200000,180000,200000,150000,200000,50000,75000
12th SEPTEMBER, 2022,Rukwa,Sumbawanga,75000,80000,160000,180000,NA,NA,NA,NA,200000,240000,180000,185000,200000,260000,60000,85000
12th SEPTEMBER, 2022,Ruvuma,Songea,70000,76000,200000,260000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,80000,90000
12th SEPTEMBER, 2022,Tabora,Tabora,82000,83000,210000,220000,150000,140000,NA,NA,190000,180000,NA,NA,220000,230000,80000,75000
12th SEPTEMBER, 2022,Tanga,Tanga,115000,120000,225000,235000,122000,122000,198000,198000,122000,122000,199000,200000,220000,250000,70000,90000
