Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,95000,100000,200000,250000,75000,80000,75000,80000,120000,125000,130000,150000,200000,280000,75000,80000
Dar es Salaam,Temeke,96000,120000,230000,280000,100000,120000,110000,120000,170000,180000,200000,220000,290000,320000,100000,102000
Dodoma,Majengo,90000,95000,235000,285000,58000,75500,72000,80000,115000,130000,180000,182400,250000,295000,90000,69000
Iringa,Iringa,80000,80000,170000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,70000,70000
Morogoro,Morogoro,93750,109600,270000,280000,170000,170000,170000,170000,185000,185000,180000,190000,280000,290000,85000,90000
Kagera,Bukoba,110000,115000,230000,320000,160000,170000,160000,170000,180000,190000,200000,220000,220000,280000,80000,90000
Katavi,Mpanda,90000,96000,200000,220000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,65000,65000
Manyara,Babati,95000,108000,250000,300000,90000,110000,90000,110000,120000,130000,210000,230000,240000,252000,115000,115000
Mtwara,Mtwara,92000,95000,240000,250000,100000,100000,NA,NA,180000,180000,NA,NA,250000,260000,75000,70000
Mwanza,Mwanza,110000,120000,230000,290000,150000,200000,150000,200000,180000,200000,NA,NA,260000,280000,90000,90000
Rukwa,Sumbawanga,70000,80000,170000,190000,NA,NA,NA,NA,200000,240000,180000,185000,200000,260000,60000,75000
Ruvuma,Songea,70000,76000,200000,260000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,85000,90000
Tabora,Tabora,90000,92000,210000,220000,140000,150000,NA,NA,180000,190000,NA,NA,230000,240000,80000,90000
Tanga,Tanga,118500,119500,245000,260000,121500,121500,190000,190000,200000,200000,199000,200000,220000,250000,70000,74000
