Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
19th SEPTEMBER, 2022,Arusha,Arusha,95000,100000,220000,280000,78000,80000,80000,82000,120000,125000,130000,150000,200000,280000,75000,80000
19th SEPTEMBER, 2022,Dar es Salaam,Temeke,98000,120000,320000,250000,100000,120000,110000,120000,180000,170000,200000,220000,280000,320000,100000,102000
19th SEPTEMBER, 2022,Dodoma,Majengo,90000,95000,285000,235000,58000,75500,72000,80000,130000,115000,180000,182400,250000,295000,69000,90000
19th SEPTEMBER, 2022,Iringa,Iringa,80000,80000,170000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,70000,70000
19th SEPTEMBER, 2022,Morogoro,Morogoro,93750,109600,280000,270000,170000,170000,170000,170000,185000,185000,180000,190000,280000,290000,85000,90000
19th SEPTEMBER, 2022,Kagera,Bukoba,110000,115000,230000,320000,160000,170000,160000,170000,180000,190000,200000,220000,220000,280000,80000,90000
19th SEPTEMBER, 2022,Katavi,Mpanda,90000,96000,200000,220000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,65000,65000
19th SEPTEMBER, 2022,Lindi,Lindi,80000,100000,280000,240000,100000,200000,NA,NA,NA,NA,300000,350000,230000,300000,120000,100000
19th SEPTEMBER, 2022,Manyara,Babati,100000,114000,300000,260000,90000,110000,90000,110000,130000,120000,210000,230000,240000,250000,115000,115000
19th SEPTEMBER, 2022,Mtwara,Mtwara,91000,92000,240000,230000,100000,100000,NA,NA,180000,180000,NA,NA,250000,270000,75000,70000
19th SEPTEMBER, 2022,Mwanza,Mwanza,110000,120000,230000,290000,150000,200000,150000,200000,180000,200000,NA,NA,260000,280000,90000,90000
19th SEPTEMBER, 2022,Rukwa,Sumbawanga,72000,80000,190000,175000,NA,NA,NA,NA,240000,210000,180000,185000,200000,260000,60000,75000
19th SEPTEMBER, 2022,Ruvuma,Songea,70000,76000,260000,200000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,90000,85000
19th SEPTEMBER, 2022,Tabora,Tabora,90000,92000,250000,230000,140000,150000,NA,NA,190000,180000,NA,NA,230000,240000,90000,80000
19th SEPTEMBER, 2022,Tanga,Tanga,110500,113500,260500,245000,119500,119500,199000,199000,205000,205000,199000,200000,220000,250000,74000,70000
