Region / Mkoa,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,100000,100000,220000,280000,78000,80000,80000,82000,125000,120000,130000,150000,200000,280000,75000,80000
Dar es Salaam,Temeke,98000,120000,250000,330000,100000,120000,110000,120000,180000,170000,200000,220000,280000,320000,68000,70000
Dodoma,Majengo,92000,95000,250000,285000,58000,75500,72000,80000,130000,115000,180000,182400,250000,295000,90000,69000
Iringa,Iringa,80000,80000,170000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,220000,70000,70000
Kagera,Bukoba,118000,125000,230000,320000,160000,170000,160000,170000,180000,190000,200000,220000,220000,280000,90000,80000
Katavi,Mpanda,95000,98000,210000,220000,NA,NA,NA,NA,NA,NA,NA,NA,200000,220000,65000,65000
Lindi,Lindi,100000,140000,240000,280000,100000,200000,NA,NA,NA,NA,300000,400000,260000,360000,140000,100000
Manyara,Babati,100000,114000,270000,300000,90000,110000,90000,110000,120000,130000,210000,230000,240000,250000,115000,115000
Mbeya,Mbeya,90000,90000,240000,240000,170000,170000,NA,NA,NA,NA,160000,160000,210000,228000,48000,48000
Mtwara,Mtwara,91000,92000,230000,240000,100000,100000,NA,NA,180000,180000,NA,NA,250000,270000,75000,70000
Mwanza,Mwanza,115000,122000,250000,300000,160000,200000,150000,200000,200000,180000,NA,NA,280000,360000,95000,100000
Rukwa,Sumbawanga,85000,90000,180000,200000,NA,NA,NA,NA,240000,230000,190000,195000,210000,300000,70000,70000
Ruvuma,Songea,70000,75000,200000,280000,NA,NA,NA,NA,100000,100000,NA,NA,200000,220000,90000,95000
Tabora,Tabora,92000,96000,240000,260000,140000,150000,NA,NA,190000,180000,NA,NA,280000,300000,90000,80000
Tanga,Tanga,114000,120000,248000,255500,110000,110000,199000,199000,204000,204000,199000,200000,220000,250000,75000,77000
