```csv
Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-10-05,Arusha,Arusha,98000,100000,230000,280000,80000,82000,80000,85000,120000,125000,130000,140000,230000,280000,80000,75000
2022-10-05,"Dar es Salaam",Tandika,98000,120000,230000,320000,100000,120000,110000,120000,170000,180000,200000,220000,280000,320000,68000,70000
2022-10-05,Dodoma,Majengo,93000,98000,260000,310000,59000,76000,71000,80000,120000,135000,180000,182400,250000,298000,90000,69500
2022-10-05,Iringa,Iringa,80000,80000,180000,250000,100000,100000,150000,150000,150000,150000,180000,200000,180000,250000,70000,70000
2022-10-05,Kagera,Bukoba,120000,124000,250000,320000,180000,200000,180000,190000,170000,180000,200000,210000,260000,320000,80000,90000
2022-10-05,Katavi,Mpanda,95000,98000,230000,240000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-10-05,Kigoma,Kigoma,100000,105500,210000,220000,100000,100000,100000,100000,150000,150000,180000,180000,240000,250000,80000,90000
2022-10-05,Lindi,Lindi,100000,120000,240000,300000,100000,150000,NA,NA,NA,NA,300000,300000,280000,360000,100000,120000
2022-10-05,Manyara,Babati,100000,114000,270000,300000,70000,90000,90000,110000,120000,140000,180000,210000,250000,280000,120000,120000
2022-10-05,Mbeya,Mbeya,90000,90000,245000,245000,170000,170000,NA,NA,NA,NA,160000,160000,210000,230000,48000,48000
2022-10-05,Morogoro,Morogoro,97770,109375,270000,280000,190000,190000,190000,190000,190000,200000,230000,230000,260000,280000,90000,90000
2022-10-05,Mtwara,Mtwara,88000,88000,240000,250000,100000,100000,NA,NA,180000,180000,NA,NA,260000,270000,75000,70000
2022-10-05,Mwanza,Mwanza,120000,128000,250000,300000,170000,200000,180000,200000,180000,200000,NA,NA,280000,360000,95000,100000
2022-10-05,Rukwa,Sumbawanga,80000,85000,180000,200000,NA,NA,NA,NA,225000,240000,190000,195000,210000,300000,70000,70000
2022-10-05,Ruvuma,Songea,70000,80000,200000,300000,NA,NA,NA,NA,100000,100000,NA,NA,200000,280000,90000,95000
2022-10-05,Tabora,Tabora,96000,98000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,100000,90000
2022-10-05,Tanga,Tanga,110500,106500,241500,264000,99000,99000,180000,180000,200500,200500,199000,200000,220000,250000,73000,75000
```
