Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
7th OCTOBER, 2022,Arusha,Arusha,97000,100000,230000,300000,80000,82000,80000,85000,120000,125000,130000,140000,230000,280000,85000,80000
7th OCTOBER, 2022,Dar es Salaam,Buguruni,130000,130000,240000,280000,NA,NA,NA,NA,NA,NA,NA,NA,250000,340000,68000,68000
7th OCTOBER, 2022,Dar es Salaam,Tandika,98000,120000,230000,320000,100000,120000,110000,120000,180000,170000,200000,220000,280000,320000,68000,70000
7th OCTOBER, 2022,Dodoma,Majengo,93000,98000,260000,310000,59000,76000,71000,80000,135000,120000,180000,182400,250000,298000,69500,90000
7th OCTOBER, 2022,Iringa,Iringa,80000,85000,190000,300000,100000,100000,150000,150000,170000,170000,180000,200000,190000,300000,70000,75000
7th OCTOBER, 2022,Kagera,Bukoba,120000,124000,250000,320000,180000,200000,180000,190000,180000,170000,200000,210000,220000,320000,80000,90000
7th OCTOBER, 2022,Kigoma,Kigoma,100000,105500,210000,220000,100000,100000,100000,100000,150000,150000,180000,180000,240000,250000,80000,90000
7th OCTOBER, 2022,Kilimanjaro,Moshi,120000,120000,350000,350000,NA,NA,NA,NA,250000,250000,NA,NA,300000,300000,95000,95000
7th OCTOBER, 2022,Lindi,Lindi,100000,120000,240000,300000,100000,200000,NA,NA,NA,NA,300000,400000,260000,360000,120000,100000
7th OCTOBER, 2022,Manyara,Babati,110000,120000,270000,300000,70000,90000,90000,110000,120000,140000,180000,210000,250000,280000,90000,90000
7th OCTOBER, 2022,Morogoro,Morogoro,97770,109375,270000,280000,190000,190000,190000,190000,200000,190000,230000,230000,260000,280000,90000,90000
7th OCTOBER, 2022,Mtwara,Mtwara,88000,88000,240000,250000,100000,100000,NA,NA,180000,180000,NA,NA,260000,270000,75000,70000
7th OCTOBER, 2022,Rukwa,Sumbawanga,78000,85000,180000,210000,NA,NA,NA,NA,225000,240000,160000,185000,210000,300000,70000,70000
7th OCTOBER, 2022,Ruvuma,Songea,70000,80000,200000,300000,NA,NA,NA,NA,100000,100000,NA,NA,200000,280000,90000,95000
7th OCTOBER, 2022,Tabora,Tabora,96000,98000,240000,260000,140000,150000,NA,NA,190000,180000,NA,NA,290000,300000,90000,100000
7th OCTOBER, 2022,Tanga,Tanga,106000,108000,241000,275000,99000,99000,NA,NA,200500,200500,199000,200000,220000,250000,76000,74000
