Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potato Min Price,Irish Potato Max Price
10th OCTOBER, 2022,Arusha,Arusha,98000,99000,230000,300000,80000,82000,80000,85000,120000,125000,130000,150000,230000,290000,80000,85000
10th OCTOBER, 2022,"Dar es Salaam",Tandika,98000,120000,320000,230000,100000,120000,110000,120000,170000,180000,200000,220000,280000,320000,68000,70000
10th OCTOBER, 2022,Dodoma,Majengo,95000,98000,265000,320000,59000,78000,72000,80000,125000,140000,180000,182400,255000,298500,70500,90000
10th OCTOBER, 2022,Iringa,Iringa,80000,85000,290000,300000,100000,100000,150000,150000,170000,170000,180000,200000,210000,300000,70000,75000
10th OCTOBER, 2022,Kagera,Bukoba,120000,124000,320000,240000,180000,200000,180000,190000,170000,180000,200000,210000,230000,320000,80000,90000
10th OCTOBER, 2022,Katavi,Mpanda,95000,98000,210000,200000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
10th OCTOBER, 2022,Kigoma,Kigoma,100000,105500,220000,210000,100000,100000,100000,100000,150000,150000,180000,180000,240000,250000,80000,90000
10th OCTOBER, 2022,Kilimanjaro,Moshi,120000,120000,350000,350000,NA,NA,NA,NA,250000,250000,NA,NA,300000,300000,95000,120000
10th OCTOBER, 2022,Lindi,Lindi,100000,120000,300000,240000,100000,200000,NA,NA,NA,NA,300000,400000,260000,360000,100000,100000
10th OCTOBER, 2022,Manyara,Babati,110000,120000,300000,270000,70000,90000,90000,110000,120000,140000,180000,210000,240000,270000,90000,90000
10th OCTOBER, 2022,Morogoro,Morogoro,98437,109375,280000,260000,190000,190000,190000,190000,190000,200000,230000,230000,270000,280000,80000,80000
10th OCTOBER, 2022,Mtwara,Mtwara,86000,86000,240000,280000,100000,100000,NA,NA,180000,180000,NA,NA,240000,270000,75000,100000
10th OCTOBER, 2022,Mwanza,Mwanza,125000,135000,350000,300000,180000,200000,180000,200000,NA,NA,NA,NA,300000,360000,95000,70000
10th OCTOBER, 2022,Rukwa,Sumbawanga,80000,85000,180000,210000,NA,NA,NA,NA,225000,240000,160000,185000,210000,300000,70000,95000
10th OCTOBER, 2022,Ruvuma,Songea,70000,85000,300000,200000,NA,NA,NA,NA,NA,NA,NA,NA,220000,250000,90000,100000
10th OCTOBER, 2022,Tabora,Tabora,96000,98000,260000,240000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,90000
10th OCTOBER, 2022,Tanga,Tanga,108000,110000,275000,241000,99000,99000,NA,NA,200500,200500,199000,200000,220000,250000,78000,80000
