Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-10-21,Arusha,Arusha,97000,98000,270000,340000,80000,82000,80000,85000,120000,125000,130000,150000,230000,290000,90000,100000
2022-10-21,Dar es Salaam,Tandika,110000,120000,200000,300000,100000,120000,110000,120000,170000,180000,200000,220000,280000,320000,75000,75000
2022-10-21,Dodoma,Majengo,105000,110000,268000,320000,62000,75000,79500,82000,128500,140000,180000,182000,210000,295000,70000,90000
2022-10-21,Iringa,Iringa,80000,85000,290000,300000,130000,130000,180000,180000,170000,170000,180000,200000,210000,300000,60000,60000
2022-10-21,Kagera,Bukoba,120000,123000,250000,330000,170000,190000,160000,180000,150000,170000,200000,250000,250000,300000,85000,70000
2022-10-21,Katavi,Mpanda,95000,98000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-10-21,Kigoma,Kigoma,100000,100000,200000,230000,130000,130000,100000,100000,130000,130000,180000,180000,240000,240000,80000,80000
2022-10-21,Kilimanjaro,Kilimanjaro,120000,120000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,95000,95000
2022-10-21,Lindi,Lindi,100000,150000,240000,300000,100000,200000,NA,NA,180000,200000,NA,NA,260000,300000,120000,100000
2022-10-21,Morogoro,Morogoro,98400,109300,260000,280000,190000,190000,190000,190000,190000,200000,230000,230000,270000,280000,90000,80000
2022-10-21,Manyara,Babati,105000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,240000,270000,90000,90000
2022-10-21,Mbeya,Mbeya,90000,90000,245000,245000,170000,170000,NA,NA,NA,NA,160000,160000,230000,240000,48000,48000
2022-10-21,Mtwara,Mtwara,85000,86000,240000,260000,100000,100000,NA,NA,180000,180000,NA,NA,270000,280000,75000,80000
2022-10-21,Mwanza,Mwanza,135000,145000,250000,350000,180000,200000,180000,200000,NA,NA,NA,NA,300000,360000,120000,100000
2022-10-21,Njombe,Njombe,72000,85000,220000,250000,NA,NA,NA,NA,200000,220000,200000,250000,200000,250000,70000,80000
2022-10-21,Rukwa,Sumbawanga,85000,86000,190000,200000,NA,NA,NA,NA,180000,200000,170000,180000,210000,300000,70000,70000
2022-10-21,Ruvuma,Songea,72000,78000,180000,300000,NA,NA,NA,NA,NA,NA,NA,NA,240000,260000,90000,95000
2022-10-21,Tabora,Tabora,108000,118000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,100000
2022-10-21,Tanga,Tanga,111500,112000,242500,276500,99000,99000,NA,NA,200000,200000,199000,200000,261500,275500,80500,78500
