Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
07th NOVEMBA, 2022,Arusha,Arusha,105000,110000,270000,340000,80000,82000,80000,85000,120000,125000,130000,150000,230000,320000,90000,95000
07th NOVEMBA, 2022,Dar es Salaam,Tandika,110000,110000,220000,320000,100000,120000,110000,120000,180000,180000,200000,220000,290000,350000,85000,85000
07th NOVEMBA, 2022,Dodoma,Majengo,105000,120000,268500,330000,65000,80000,79500,83000,128800,142000,180000,182000,215000,298000,82000,98000
07th NOVEMBA, 2022,Iringa,Iringa,80000,85000,290000,300000,130000,130000,180000,180000,170000,170000,180000,200000,210000,300000,60000,70000
07th NOVEMBA, 2022,Katavi,Mpanda,100800,115000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
07th NOVEMBA, 2022,Kilimanjaro,Kilimanjaro,120000,120000,250000,350000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,95000,95000
07th NOVEMBA, 2022,Lindi,Lindi,100000,130000,220000,300000,200000,300000,NA,NA,200000,300000,350000,400000,260000,320000,120000,140000
07th NOVEMBA, 2022,Morogoro,Morogoro,106000,109375,270000,280000,190000,190000,190000,190000,190000,200000,210000,230000,280000,280000,80000,85000
07th NOVEMBA, 2022,Manyara,Babati,105000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,250000,300000,100000,100000
07th NOVEMBA, 2022,Mtwara,Mtwara,80000,90000,250000,280000,100000,100000,NA,NA,180000,180000,NA,NA,280000,280000,100000,100000
07th NOVEMBA, 2022,Rukwa,Sumbawanga,80000,90000,180000,210000,NA,NA,NA,NA,175000,200000,160000,180000,200000,300000,70000,70000
07th NOVEMBA, 2022,Ruvuma,Songea,73000,78000,240000,320000,NA,NA,NA,NA,NA,NA,NA,NA,260000,280000,90000,95000
07th NOVEMBA, 2022,Tabora,Tabora,118000,120000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,100000
07th NOVEMBA, 2022,Tanga,Tanga,115500,118500,250000,279500,90000,90000,NA,NA,200000,200000,199000,200000,278500,283500,98500,94000
