Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
09th NOVEMBA, 2022,Arusha,Arusha,115000,125000,270000,340000,85000,90000,88000,90000,125000,128000,130000,140000,230000,320000,90000,85000
09th NOVEMBA, 2022,Dar es Salaam,Tandika,110000,110000,210000,320000,100000,120000,110000,120000,180000,180000,200000,220000,290000,350000,85000,85000
09th NOVEMBA, 2022,Dodoma,Majengo,105000,120000,268500,330000,65000,80000,79500,83000,128800,142000,180000,182000,215000,298000,82000,98000
09th NOVEMBA, 2022,Iringa,Iringa,80000,85000,290000,300000,130000,130000,180000,180000,170000,170000,180000,200000,210000,300000,60000,70000
09th NOVEMBA, 2022,Kagera,Bukoba,120000,124000,240000,340000,170000,190000,180000,190000,180000,190000,190000,200000,240000,320000,90000,80000
09th NOVEMBA, 2022,Katavi,Mpanda,100800,115000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
09th NOVEMBA, 2022,Kigoma,Kigoma,110000,110000,230000,240000,180000,180000,200000,200000,180000,230000,200000,200000,260000,260000,90000,90000
09th NOVEMBA, 2022,Kilimanjaro,Kilimanjaro,120000,120000,250000,350000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,95000,95000
09th NOVEMBA, 2022,Lindi,Lindi,120000,150000,240000,300000,200000,300000,NA,NA,200000,300000,350000,400000,280000,370000,150000,120000
09th NOVEMBA, 2022,Morogoro,Morogoro,106000,109375,270000,280000,190000,190000,190000,190000,190000,200000,210000,230000,280000,280000,80000,85000
09th NOVEMBA, 2022,Manyara,Babati,105000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,250000,300000,100000,100000
09th NOVEMBA, 2022,Mtwara,Mtwara,80000,90000,250000,280000,100000,100000,NA,NA,180000,180000,NA,NA,280000,280000,100000,100000
09th NOVEMBA, 2022,Rukwa,Sumbawanga,85000,85000,180000,220000,NA,NA,NA,NA,175000,175000,160000,160000,180000,240000,65000,65000
09th NOVEMBA, 2022,Ruvuma,Songea,73000,78000,240000,320000,NA,NA,NA,NA,NA,NA,NA,NA,260000,280000,90000,95000
09th NOVEMBA, 2022,Tabora,Tabora,118000,120000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,100000
09th NOVEMBA, 2022,Tanga,Tanga,120500,122500,250000,279500,99500,99500,NA,NA,200000,200000,199000,200000,279500,283500,96000,100000
