Date,Region,District,Maize_Max_Price,Maize_Min_Price,Rice_Max_Price,Rice_Min_Price,Sorghum_Max_Price,Sorghum_Min_Price,BulrushMillet_Max_Price,BulrushMillet_Min_Price,FingerMillet_Max_Price,FingerMillet_Min_Price,WheatGrain_Max_Price,WheatGrain_Min_Price,Beans_Max_Price,Beans_Min_Price,IrishPotatoes_Max_Price,IrishPotatoes_Min_Price
2022-11-21,Arusha,Arusha,115000,116000,270000,340000,85000,90000,88000,90000,125000,128000,130000,140000,230000,320000,85000,90000
2022-11-21,Dodoma,Majengo,110000,125000,300000,360000,79000,95000,82000,88000,129000,140000,180000,182000,280000,320000,83000,98000
2022-11-21,Iringa,Iringa,95000,95000,240000,300000,150000,150000,180000,180000,180000,180000,200000,200000,250000,320000,70000,70000
2022-11-21,Kagera,Bukoba,118000,122000,240000,340000,170000,190000,180000,190000,180000,190000,190000,200000,230000,300000,80000,90000
2022-11-21,Katavi,Mpanda,100800,115000,200000,210000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-11-21,Kigoma,Kigoma,120000,120000,230000,240000,180000,180000,200000,200000,180000,230000,200000,200000,260000,260000,90000,90000
2022-11-21,Lindi,Lindi,120000,150000,240000,340000,120000,300000,NA,NA,NA,NA,250000,400000,280000,380000,150000,120000
2022-11-21,Morogoro,Morogoro,109375,109375,280000,270000,190000,190000,190000,190000,190000,200000,220000,230000,280000,280000,85000,90000
2022-11-21,Manyara,Babati,105000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,300000,360000,90000,90000
2022-11-21,Mtwara,Mtwara,80000,90000,270000,300000,100000,100000,NA,NA,180000,180000,NA,NA,300000,300000,150000,150000
2022-11-21,Mwanza,Mwanza,135000,140000,250000,320000,180000,200000,NA,NA,NA,NA,NA,NA,265000,350000,100000,120000
2022-11-21,Rukwa,Sumbawanga,90000,92000,190000,220000,NA,NA,NA,NA,175000,175000,150000,160000,180000,240000,70000,70000
2022-11-21,Ruvuma,Songea,80000,85000,320000,260000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,90000,95000
2022-11-21,Tabora,Tabora,114000,118000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,100000
2022-11-21,Tanga,Tanga,121500,122500,279500,250000,100000,100000,NA,NA,200000,200000,199000,200000,278000,284000,85000,100000
