Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2022-11-28,Arusha,Arusha,106000,107000,240000,340000,85000,90000,88000,90000,125000,128000,130000,140000,250000,350000,90000,85000
2022-11-28,Dar Es Salaam,Tandale,112000,115000,240000,270000,110000,110000,110000,110000,150000,160000,200000,200000,300000,370000,80000,80000
2022-11-28,Dar Es Salaam,Buguruni,110000,120000,260000,300000,NA,NA,NA,NA,NA,NA,NA,NA,320000,340000,85000,85000
2022-11-28,Dodoma,Majengo,105000,125000,300000,362000,78000,92000,90000,100000,140000,155000,180000,183200,280000,310000,98000,82000
2022-11-28,Iringa,Iringa,100000,100000,240000,300000,150000,150000,180000,200000,150000,150000,200000,200000,250000,320000,70000,70000
2022-11-28,Kagera,Bukoba,117000,120000,240000,350000,170000,190000,180000,190000,180000,190000,190000,200000,210000,250000,90000,80000
2022-11-28,Katavi,Mpanda,115000,120000,230000,250000,NA,NA,NA,NA,NA,NA,NA,NA,235000,250000,65000,65000
2022-11-28,Kilimanjaro,Moshi,120000,120000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,300000,300000,95000,95000
2022-11-28,Lindi,Lindi,120000,150000,240000,340000,120000,300000,NA,NA,NA,NA,NA,NA,280000,380000,120000,140000
2022-11-28,Morogoro,Morogoro,109400,110000,270000,280000,190000,190000,190000,190000,190000,200000,220000,230000,280000,280000,85000,90000
2022-11-28,Manyara,Babati,105000,120000,270000,320000,70000,90000,90000,110000,120000,140000,180000,210000,300000,360000,90000,90000
2022-11-28,Mtwara,Mtwara,80000,90000,270000,300000,100000,100000,NA,NA,180000,180000,NA,NA,300000,300000,150000,150000
2022-11-28,Mwanza,Mwanza,125000,135000,240000,320000,180000,200000,NA,NA,NA,NA,NA,NA,270000,350000,100000,100000
2022-11-28,Njombe,Njombe,75000,85000,250000,320000,NA,NA,NA,NA,200000,220000,200000,250000,200000,250000,80000,70000
2022-11-28,Ruvuma,Songea,78000,82000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,90000,85000
2022-11-28,Rukwa,Sumbawanga,100000,105000,180000,220000,NA,NA,NA,NA,175000,175000,150000,160000,180000,240000,70000,70000
2022-11-28,Shinyanga,Shinyanga,110000,120000,280000,300000,90000,100000,90000,100000,120000,130000,130000,140000,300000,350000,90000,80000
2022-11-28,Tabora,Manispaa,108000,114000,240000,260000,140000,150000,NA,NA,180000,190000,NA,NA,290000,300000,90000,100000
2022-11-28,Tanga,Tanga,125000,127000,252000,279000,100000,100000,NA,NA,200000,200000,199000,200000,280000,300000,90000,100000
