Date,Region,District,Maize_MaxPrice,Maize_MinPrice,Rice_MaxPrice,Rice_MinPrice,Sorghum_MaxPrice,Sorghum_MinPrice,BulrushMillet_MaxPrice,BulrushMillet_MinPrice,FingerMillet_MaxPrice,FingerMillet_MinPrice,WheatGrain_MaxPrice,WheatGrain_MinPrice,Beans_MaxPrice,Beans_MinPrice,IrishPotatoes_MaxPrice,IrishPotatoes_MinPrice
11th JANUARY, 2023,Arusha,Arusha,114000,114000,270000,320000,82000,85000,90000,85000,114000,115000,145000,140000,260000,320000,130000,110000
11th JANUARY, 2023,Dar es Salaam,ilala,105000,105000,280000,300000,NA,NA,NA,NA,NA,NA,NA,NA,300000,340000,78000,90000
11th JANUARY, 2023,Dar es Salaam,Kinondoni,125000,125000,270000,300000,130000,130000,130000,130000,240000,240000,200000,200000,300000,350000,105000,110000
11th JANUARY, 2023,Dodoma,Majengo,109000,103000,260000,290000,83000,115000,110000,122000,144000,150000,182000,182000,275000,300000,96500,118000
11th JANUARY, 2023,Dodoma,Kibaigwa,112000,112000,280000,280000,90000,100000,NA,NA,NA,NA,NA,NA,320000,320000,NA,NA
11th JANUARY, 2023,Iringa,Iringa,100000,100000,250000,300000,150000,150000,200000,180000,150000,150000,200000,200000,260000,350000,70000,80000
11th JANUARY, 2023,Kilimanjaro,Moshi,150000,150000,350000,350000,NA,NA,NA,NA,200000,200000,NA,NA,350000,350000,120000,120000
11th JANUARY, 2023,Kagera,Bukoba,110000,115000,250000,320000,120000,130000,180000,190000,180000,200000,190000,200000,150000,250000,90000,95000
11th JANUARY, 2023,Kigoma,Kigoma,125000,127000,250000,300000,150000,150000,150000,150000,130000,130000,200000,200000,280000,300000,120000,100000
11th JANUARY, 2023,Morogoro,Morogoro,113382,113382,300000,330000,150000,195000,175000,150000,170000,200000,200000,180000,300000,300000,100000,100000
11th JANUARY, 2023,Mtwara,Mtwara,90000,100000,320000,380000,100000,100000,NA,NA,NA,NA,NA,NA,300000,300000,200000,200000
11th JANUARY, 2023,Mwanza,Mwanza,145000,135000,270000,330000,150000,200000,150000,200000,NA,NA,NA,NA,270000,340000,150000,135000
11th JANUARY, 2023,Njombe,Njombe,95000,100000,300000,350000,180000,200000,NA,NA,200000,220000,200000,250000,300000,350000,80000,70000
11th JANUARY, 2023,Rukwa,Sumbawanga,100000,100000,250000,260000,NA,NA,NA,NA,200000,210000,150000,180000,180000,240000,75000,70000
11th JANUARY, 2023,Ruvuma,Songea,88000,90000,280000,340000,NA,NA,NA,NA,NA,NA,NA,NA,270000,300000,95000,90000
11th JANUARY, 2023,Tabora,Tabora,122000,120000,260000,280000,160000,170000,NA,NA,190000,200000,NA,NA,290000,300000,110000,100000
11th JANUARY, 2023,Tanga,Tanga,125000,130000,265000,280500,121000,121000,NA,NA,185000,185000,180000,200000,279000,290000,100000,75000
