Date,Region,District/Market,Maize Max Price,Maize Min Price,Rice Max Price,Rice Min Price,Sorghum Max Price,Sorghum Min Price,Bulrush Millet Max Price,Bulrush Millet Min Price,Finger Millet Max Price,Finger Millet Min Price,Wheat Grain Max Price,Wheat Grain Min Price,Beans Max Price,Beans Min Price,Irish Potatoes Max Price,Irish Potatoes Min Price
16th JANUARY, 2023,Arusha,Arusha,114000,115000,270000,320000,80000,85000,82000,85000,114000,115000,150000,155000,280000,330000,130000,110000
16th JANUARY, 2023,Dar es Salaam,Ilala,105000,105000,280000,300000,NA,NA,NA,NA,NA,NA,NA,NA,300000,340000,85000,85000
16th JANUARY, 2023,Dodoma,Majengo,115000,130000,265000,290000,84000,115000,110000,125000,150000,144000,182000,186000,275000,300000,96000,117000
16th JANUARY, 2023,Dodoma,Kibaigwa,112000,112000,280000,280000,90000,100000,NA,NA,NA,NA,NA,NA,320000,320000,NA,NA
16th JANUARY, 2023,Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,270000,350000,80000,80000
16th JANUARY, 2023,Kagera,Bukoba,112000,115000,250000,330000,130000,150000,180000,190000,180000,200000,190000,200000,180000,260000,95000,90000
16th JANUARY, 2023,Kigoma,Kigoma,111500,111500,250000,300000,150000,160000,150000,150000,150000,170000,200000,200000,270000,280000,120000,100000
16th JANUARY, 2023,Kilimanjaro,Moshi,150000,150000,350000,350000,NA,NA,NA,NA,200000,200000,NA,NA,350000,350000,120000,120000
16th JANUARY, 2023,Morogoro,Morogoro,113382,113382,300000,330000,150000,195000,150000,175000,200000,170000,180000,200000,300000,300000,100000,100000
16th JANUARY, 2023,Mtwara,Mtwara,95000,100000,280000,350000,100000,100000,NA,NA,NA,NA,NA,NA,320000,320000,200000,200000
16th JANUARY, 2023,Rukwa,Sumbawanga,100000,110000,250000,260000,NA,NA,NA,NA,200000,210000,150000,180000,180000,240000,75000,70000
16th JANUARY, 2023,Tanga,Tanga,124000,129000,266000,288000,121000,121000,NA,NA,185500,185500,180000,200000,279000,290000,90000,85000
