Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-01-25,Arusha,Arusha,105000,110000,270000,320000,80000,85000,82000,85000,114000,115000,155000,160000,270000,320000,110000,130000
2023-01-25,Dar es Salaam,Kinondoni,110000,110000,270000,320000,125000,125000,125000,125000,160000,160000,NA,NA,300000,350000,75000,75000
2023-01-25,Dar es Salaam,Ilala,105000,105000,290000,335000,NA,NA,NA,NA,NA,NA,NA,NA,340000,360000,NA,NA
2023-01-25,Dodoma,Majengo,110000,125000,260000,280000,86000,90000,110000,130000,145000,155000,182000,186000,280000,300000,95000,118000
2023-01-25,Dodoma,Kibaigwa,100000,100000,280000,280000,80000,90000,NA,NA,NA,NA,NA,NA,320000,320000,NA,NA
2023-01-25,Katavi,Mpanda,120000,128000,200000,250000,NA,NA,NA,NA,NA,NA,200000,200000,350000,420000,90000,90000
2023-01-25,Kigoma,Kigoma,111500,111500,250000,300000,150000,160000,150000,150000,150000,170000,200000,200000,270000,280000,100000,120000
2023-01-25,Kilimanjaro,Moshi,150000,150000,350000,350000,NA,NA,NA,NA,200000,200000,NA,NA,350000,350000,120000,120000
2023-01-25,Morogoro,Morogoro,113382,113382,300000,330000,150000,195000,150000,175000,170000,200000,180000,200000,300000,300000,100000,100000
2023-01-25,Mtwara,Mtwara,95000,120000,280000,380000,150000,150000,NA,NA,200000,200000,NA,NA,NA,NA,NA,NA
2023-01-25,Mwanza,Mwanza,135000,145000,270000,330000,150000,200000,150000,200000,NA,NA,NA,NA,270000,340000,135000,150000
2023-01-25,Rukwa,Sumbawanga,100000,110000,250000,260000,NA,NA,NA,NA,200000,210000,160000,180000,200000,260000,75000,75000
2023-01-25,Tabora,Tabora,122000,124000,260000,280000,160000,170000,NA,NA,190000,200000,184000,192000,310000,330000,100000,110000
2023-01-25,Tanga,Tanga,122000,125000,266500,279500,121000,121000,NA,NA,185000,185000,180000,200000,279000,290000,90000,95000
