Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
03rd FEBRUARY, 2023,Arusha,Arusha,100000,105000,260000,340000,80000,85000,82000,85000,114000,115000,152000,155000,270000,320000,100000,120000
03rd FEBRUARY, 2023,Dar es Salaam,Kinondoni,120000,120000,270000,300000,120000,120000,130000,130000,200000,200000,NA,NA,320000,380000,75000,75000
03rd FEBRUARY, 2023,Dodoma,Majengo,110000,125000,280000,260000,86000,115000,110000,130000,145000,155000,114000,154000,290000,340000,118000,95000
03rd FEBRUARY, 2023,Dodoma,Kibaigwa,107000,107000,280000,280000,80000,90000,NA,NA,NA,NA,NA,NA,320000,320000,NA,NA
03rd FEBRUARY, 2023,Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,270000,350000,80000,80000
03rd FEBRUARY, 2023,Lindi,Lindi,120000,200000,270000,400000,130000,300000,NA,NA,NA,NA,250000,400000,300000,420000,140000,200000
03rd FEBRUARY, 2023,Morogoro,Morogoro,93750,113382,320000,300000,150000,195000,150000,155000,170000,170000,180000,180000,320000,320000,100000,100000
03rd FEBRUARY, 2023,Mtwara,Mtwara,95000,100000,320000,380000,150000,150000,NA,NA,200000,200000,NA,NA,NA,NA,NA,NA
03rd FEBRUARY, 2023,Mwanza,Mwanza,130000,150000,285000,330000,150000,200000,150000,200000,NA,NA,NA,NA,290000,350000,150000,125000
03rd FEBRUARY, 2023,Njombe,Njombe,95000,100000,280000,320000,180000,200000,NA,NA,200000,220000,200000,220000,300000,350000,80000,90000
03rd FEBRUARY, 2023,Rukwa,Sumbawanga,90000,90000,260000,250000,NA,NA,NA,NA,180000,180000,180000,180000,220000,260000,70000,60000
03rd FEBRUARY, 2023,Ruvuma,Songea,90000,93000,350000,280000,NA,NA,NA,NA,NA,NA,NA,NA,290000,310000,90000,95000
03rd FEBRUARY, 2023,Tabora,Tabora,122000,124000,290000,260000,160000,170000,NA,NA,190000,200000,184000,192000,380000,400000,100000,110000
03rd FEBRUARY, 2023,Tanga,Tanga,125000,128000,280500,266500,121500,121500,NA,NA,187500,187500,NA,NA,280500,280500,90000,94000
