Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
06th FEBRUARY, 2023,Arusha,Arusha,100000,103000,260000,340000,80000,85000,82000,85000,114000,115000,152000,150000,270000,320000,100000,120000
06th FEBRUARY, 2023,Dar es Salaam,Kinondoni,130000,130000,280000,310000,140000,140000,130000,130000,170000,170000,200000,200000,360000,370000,75000,75000
06th FEBRUARY, 2023,Dodoma,Majengo,115000,125000,260000,285000,87000,115000,112000,130000,144000,155000,188000,184000,290000,330000,118000,96000
06th FEBRUARY, 2023,Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,270000,350000,80000,80000
06th FEBRUARY, 2023,Kilimanjaro,Moshi,135000,140000,300000,350000,NA,NA,NA,NA,200000,200000,NA,NA,350000,350000,105000,105000
06th FEBRUARY, 2023,Lindi,Lindi,120000,200000,270000,400000,130000,300000,NA,NA,NA,NA,250000,400000,300000,420000,140000,200000
06th FEBRUARY, 2023,Mara,Musoma,95000,95000,210000,210000,120000,120000,250000,250000,250000,250000,NA,NA,NA,NA,100000,100000
06th FEBRUARY, 2023,Morogoro,Morogoro,145000,150000,270000,340000,110000,120000,137000,140000,140000,160000,210000,120000,300000,320000,60000,65000
06th FEBRUARY, 2023,Mtwara,Mtwara,95000,130000,280000,380000,150000,150000,NA,NA,200000,200000,NA,NA,300000,300000,200000,200000
06th FEBRUARY, 2023,Mwanza,Mwanza,115000,130000,275000,350000,150000,200000,150000,200000,NA,NA,NA,NA,270000,350000,100000,130000
06th FEBRUARY, 2023,Njombe,Njombe,95000,100000,280000,320000,180000,200000,NA,NA,200000,220000,220000,200000,300000,350000,90000,80000
06th FEBRUARY, 2023,Rukwa,Sumbawanga,90000,90000,250000,260000,NA,NA,NA,NA,210000,210000,200000,200000,180000,210000,60000,60000
06th FEBRUARY, 2023,Ruvuma,Songea,90000,93000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,290000,310000,95000,90000
06th FEBRUARY, 2023,Shinyanga,Shinyanga,110000,115000,260000,350000,90000,100000,100000,120000,180000,200000,200000,200000,240000,300000,110000,120000
06th FEBRUARY, 2023,Tabora,Tabora,122000,124000,260000,290000,160000,170000,NA,NA,190000,200000,192000,184000,380000,400000,100000,110000
06th FEBRUARY, 2023,Tanga,Tanga,126500,128000,266500,280500,121500,121500,NA,NA,187500,187500,NA,NA,280500,290500,95000,93000
