Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
13th FEBRUARY, 2023,Arusha,Arusha,105000,106000,260000,340000,80000,85000,82000,85000,115000,114000,150000,152000,270000,320000,120000,100000
13th FEBRUARY, 2023,Dar es Salaam,Kinondoni,130000,130000,280000,310000,140000,140000,130000,130000,170000,170000,200000,200000,360000,370000,75000,75000
13th FEBRUARY, 2023,Dar es Salaam,Temeke,114000,110000,280000,360000,110000,160000,130000,140000,169000,200000,200000,220000,310000,360000,80000,80000
13th FEBRUARY, 2023,Dodoma,Majengo,125000,110000,260000,285000,87000,115000,112000,130000,155000,144000,184000,188000,290000,330000,96000,118000
13th FEBRUARY, 2023,Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,188000,188000,270000,350000,80000,80000
13th FEBRUARY, 2023,Lindi,Lindi,180000,100000,250000,400000,180000,300000,NA,NA,NA,NA,250000,400000,280000,450000,200000,140000
13th FEBRUARY, 2023,Mara,Musoma,95000,95000,210000,210000,120000,120000,250000,250000,250000,250000,NA,NA,NA,NA,100000,100000
13th FEBRUARY, 2023,Morogoro,Morogoro,117895,101525,270000,310000,120000,130000,100000,105000,170000,160000,210000,200000,310000,320000,68000,70000
13th FEBRUARY, 2023,Mtwara,Mtwara,130000,100000,280000,380000,150000,150000,NA,NA,200000,200000,NA,NA,300000,350000,200000,200000
13th FEBRUARY, 2023,Rukwa,Sumbawanga,100000,90000,250000,270000,NA,NA,NA,NA,210000,180000,200000,200000,180000,210000,50000,60000
13th FEBRUARY, 2023,Ruvuma,Songea,85000,90000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,250000,270000,95000,90000
13th FEBRUARY, 2023,Shinyanga,Shinyanga,125000,110000,260000,320000,90000,110000,100000,120000,180000,200000,200000,200000,250000,300000,120000,100000
13th FEBRUARY, 2023,Tabora,Tabora,123000,124000,260000,300000,160000,170000,NA,NA,190000,200000,192000,184000,360000,380000,100000,110000
13th FEBRUARY, 2023,Tanga,Tanga,120000,123000,266000,280000,120500,120500,NA,NA,186500,186500,NA,NA,280000,300000,94000,93000
