Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price,Date
Arusha,Arusha,110000,112000,260000,340000,80000,85000,82000,85000,115000,152000,NA,NA,270000,320000,120000,100000,,,"15th FEBRUARY, 2023"
Dar es Salaam,Kinondoni,125000,125000,280000,320000,130000,140000,130000,130000,160000,160000,200000,200000,360000,370000,70000,75000,,,"15th FEBRUARY, 2023"
Dar es Salaam,Temeke,110000,114000,290000,360000,110000,160000,130000,140000,200000,160000,200000,220000,300000,360000,80000,80000,,,"15th FEBRUARY, 2023"
Dodoma,Majengo,110000,125000,260000,285000,87000,115000,112000,130000,155000,144000,184000,188000,290000,330000,96000,118000,,,"15th FEBRUARY, 2023"
Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,270000,350000,80000,80000,,,"15th FEBRUARY, 2023"
Lindi,Lindi,100000,180000,250000,400000,180000,300000,NA,NA,NA,NA,250000,400000,280000,480000,140000,200000,,,"15th FEBRUARY, 2023"
Mara,Musoma,110000,110000,220000,220000,130000,130000,250000,250000,250000,250000,140000,140000,NA,NA,105000,105000,,,"15th FEBRUARY, 2023"
Morogoro,Morogoro,101525,117895,280000,320000,125000,130000,100000,100000,160000,170000,210000,220000,300000,320000,65500,67000,,,"15th FEBRUARY, 2023"
Mtwara,Mtwara,95000,135000,340000,400000,250000,250000,NA,NA,200000,200000,NA,NA,300000,300000,NA,NA,,,"15th FEBRUARY, 2023"
Mwanza,Mwanza,120000,130000,260000,340000,150000,200000,150000,200000,NA,NA,NA,NA,270000,350000,100000,120000,,,"15th FEBRUARY, 2023"
Njombe,Njombe,95000,100000,250000,300000,180000,200000,NA,NA,NA,NA,200000,220000,300000,350000,90000,50000,,,"15th FEBRUARY, 2023"
Rukwa,Sumbawanga,90000,100000,250000,270000,NA,NA,NA,NA,NA,NA,180000,220000,170000,200000,80000,60000,,,"15th FEBRUARY, 2023"
Ruvuma,Songea,85000,90000,280000,340000,NA,NA,NA,NA,NA,NA,NA,NA,250000,280000,95000,90000,,,"15th FEBRUARY, 2023"
Tanga,Tanga,120000,122000,266500,280000,120000,120000,NA,NA,186000,186000,180000,180000,280500,290000,92000,90000,,,"15th FEBRUARY, 2023"
