Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,113000,115000,260000,340000,80000,85000,82000,85000,115000,118000,NA,NA,270000,320000,120000,100000
Dar es Salaam,Kinondoni,130000,130000,280000,320000,150000,150000,130000,130000,180000,180000,200000,200000,330000,360000,55000,60000
Dar es Salaam,Temeke,110000,114000,320000,370000,110000,160000,130000,140000,160000,200000,200000,220000,250000,350000,85000,80000
Dar es Salaam,Ilala,113000,113000,270000,335000,NA,NA,NA,NA,NA,NA,NA,NA,340000,360000,73000,75000
Dodoma,Majengo,115000,120000,275000,320000,90000,122000,120000,132000,148000,152000,184000,188000,280000,320000,98000,125000
Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,280000,350000,80000,80000
Katavi,Mpanda,120000,128000,200000,250000,NA,NA,NA,NA,NA,NA,NA,NA,250000,300000,75000,75000
Lindi,Lindi,100000,180000,250000,400000,180000,300000,NA,NA,NA,NA,250000,400000,280000,480000,140000,200000
Mara,Musoma,110000,110000,220000,220000,130000,130000,250000,250000,250000,250000,140000,140000,NA,NA,105000,105000
Morogoro,Morogoro,101525,117895,260000,320000,120000,125000,100000,110000,160000,170000,210000,220000,300000,320000,56250,61110
Mtwara,Mtwara,95000,135000,340000,400000,250000,250000,NA,NA,200000,200000,NA,NA,300000,300000,NA,
Mwanza,Mwanza,122000,121000,270000,340000,150000,200000,140500,NA,180000,NA,NA,NA,270000,NA,60000,
Rukwa,Sumbawanga,90000,130000,250000,260000,NA,NA,150000,200000,180000,200000,NA,NA,150000,200000,......,
Shinyanga,Shinyanga,85000,100000,235000,320000,100000,NA,NA,NA,190000,NA,NA,NA,300000,NA,125000,
Tabora,Tabora,114000,150000,260000,290000,160000,150000,NA,180000,190000,200000,NA,NA,280000,320000,100000,
Tanga,Tanga,118000,280000,260000,140500,200000,NA,200000,NA,NA,NA,NA,150000,350000,110000,50000,
,,,123000,329000,,,280000,,,NA,,,200000,NA,NA,290000,,,120000,
