Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,115000,116000,260000,320000,80000,85000,82000,85000,115000,118000,NA,NA,270000,320000,95000,100000
es Salaam,Kinondoni,125000,130000,270000,330000,140000,140000,140000,140000,150000,180000,200000,200000,330000,380000,70000,75000
es Salaam,Temeke,110000,114000,280000,340000,110000,160000,130000,140000,200000,160000,200000,220000,250000,350000,73000,75000
es Salaam,Ilala,113000,115000,270000,335000,NA,92000,NA,125000,NA,122000,NA,132000,NA,148000,60000,60000
Dodoma,Majengo,113000,125000,270000,325000,NA,NA,NA,NA,155000,NA,NA,184000,280000,360000,98000,123000
Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,280000,350000,80000,80000
Kagera,Bukoba,106000,110000,260000,330000,160000,200000,160000,170000,150000,140000,190000,200000,200000,250000,85000,95000
Katavi,Mpanda,118000,120000,200000,250000,NA,NA,NA,NA,NA,NA,200000,200000,250000,300000,75000,75000
Morogoro,Morogoro,101525,117895,260000,320000,120000,125000,100000,110000,170000,160000,210000,220000,300000,320000,53000,55000
Mtwara,Mtwara,95000,135000,340000,400000,250000,250000,NA,NA,200000,200000,NA,NA,300000,300000,NA,NA
Mwanza,Mwanza,122000,130000,300000,340000,150000,200000,150000,200000,NA,NA,NA,NA,270000,350000,100000,125000
Rukwa,Sumbawanga,90000,100000,250000,270000,NA,NA,NA,NA,180000,105000,160000,180000,150000,180000,NA,NA
Shinyanga,Shinyanga,85000,170000,250000,350000,120000,170000,120000,170000,260000,200000,200000,200000,300000,320000,100000,120000
Tabora,Tabora,114000,118000,260000,290000,160000,170000,NA,NA,190000,200000,188000,184000,280000,290000,100000,110000
Tanga,Tanga,127000,130000,280000,328500,148500,148500,NA,NA,198500,198500,NA,NA,280500,300000,85000,88000
