Region / Mkoa,District / Market,Mahindi Min Price,Mahindi Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,115000,116000,260000,320000,80000,85000,82000,85000,115000,118000,NA,NA,270000,320000,95000,100000
Dar es Salaam,Kinondoni,125000,130000,270000,330000,140000,140000,140000,140000,150000,180000,200000,200000,330000,380000,70000,75000
Dar es Salaam,Temeke,110000,114000,280000,340000,110000,160000,130000,140000,200000,160000,220000,200000,250000,350000,73000,75000
Dar es Salaam,Ilala,113000,113000,270000,270000,NA,92000,NA,125000,NA,122000,NA,NA,184000,188000,60000,98000
Dodoma,Majengo,125000,115000,335000,325000,NA,NA,NA,132000,NA,155000,NA,148000,340000,280000,60000,123000
Iringa,Iringa,100000,100000,250000,350000,150000,150000,180000,200000,150000,150000,200000,200000,280000,350000,80000,80000
Kagera,Bukoba,110000,106000,260000,330000,160000,200000,160000,170000,140000,150000,190000,200000,200000,250000,85000,90000
Katavi,Mpanda,120000,128000,200000,250000,NA,NA,NA,NA,NA,NA,200000,200000,350000,420000,90000,90000
Morogoro,Morogoro,117895,101525,260000,320000,120000,125000,100000,110000,160000,170000,210000,220000,300000,320000,57800,58800
Mtwara,Mtwara,135000,95000,340000,400000,250000,250000,NA,NA,200000,200000,NA,NA,300000,300000,NA,NA
Mwanza,Mwanza,122000,130000,300000,340000,150000,200000,150000,200000,NA,NA,NA,NA,270000,350000,100000,125000
Rukwa,Sumbawanga,100000,90000,250000,270000,NA,NA,NA,NA,105000,180000,160000,180000,150000,180000,NA,NA
Shinyanga,Shinyanga,85000,170000,250000,350000,120000,170000,120000,170000,260000,200000,200000,200000,300000,320000,100000,120000
Tabora,Tabora,114000,118000,260000,290000,160000,170000,NA,NA,190000,200000,188000,184000,280000,290000,100000,110000
Tanga,Tanga,129500,128000,278000,328500,148500,148500,NA,NA,198500,198500,NA,NA,280500,300000,84000,87500
