Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,121000,122000,260000,300000,80000,82000,82000,85000,117000,118000,NA,NA,230000,330000,95000,100000
Dar es Salaam,Kinondoni,130000,150000,280000,320000,140000,140000,130000,130000,160000,200000,200000,200000,300000,380000,75000,75000
Dar es Salaam,Temeke,110000,114000,280000,340000,110000,160000,130000,140000,160000,200000,200000,220000,250000,350000,70000,70000
Dodoma,Majengo,122000,125000,275000,325000,93000,125000,122000,132000,148000,155000,184000,188000,285000,320000,98000,123000
Iringa,Iringa,120000,120000,280000,350000,150000,150000,180000,200000,150000,150000,200000,200000,280000,350000,60000,60000
Kagera,Bukoba,105000,110000,260000,330000,160000,200000,160000,170000,140000,150000,190000,200000,200000,260000,90000,85000
Katavi,Mpanda,120000,128000,200000,250000,NA,NA,NA,NA,NA,NA,200000,200000,350000,420000,90000,90000
Lindi,Lindi,110000,200000,275000,400000,160000,300000,NA,NA,NA,NA,250000,300000,300000,420000,100000,200000
Mara,Musoma,110000,110000,220000,320000,130000,130000,250000,250000,250000,250000,NA,NA,NA,NA,105000,105000
Morogoro,Morogoro,101525,117895,260000,320000,120000,125000,100000,110000,160000,170000,210000,220000,300000,320000,55600,58900
Mtwara,Mtwara,90000,100000,280000,400000,300000,300000,NA,NA,200000,200000,NA,NA,300000,300000,150000,150000
Mwanza,Mwanza,120000,135000,290000,340000,160000,200000,170000,200000,NA,NA,NA,NA,250000,330000,130000,110000
Rukwa,Sumbawanga,85000,100000,250000,270000,NA,NA,NA,NA,105000,180000,160000,180000,120000,160000,NA,NA
Ruvuma,Songea,92000,95000,280000,330000,NA,NA,NA,NA,NA,NA,NA,NA,300000,310000,95000,92000
Shinyanga,Shinyanga,85000,170000,250000,360000,150000,200000,150000,170000,200000,200000,200000,300000,300000,320000,120000,100000
Tabora,Tabora,114000,118000,260000,290000,160000,170000,NA,NA,190000,200000,184000,188000,280000,290000,90000,100000
Tanga,Tanga,132000,135500,279000,335500,149500,149500,NA,NA,198500,198500,NA,NA,282500,300000,79000,82000
