Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Potatoes Irish Min Price,Potatoes Irish Max Price
29th MARCH, 2023,Arusha,Arusha,122000,125000,270000,320000,80000,82000,82000,85000,117000,118000,NA,NA,240000,300000,90000,100000
29th MARCH, 2023,Dar es Salaam,Kinondoni,140000,140000,270000,350000,170000,170000,170000,170000,160000,160000,NA,NA,300000,330000,65000,75000
29th MARCH, 2023,Dar es Salaam,Ilala,120000,120000,270000,335000,NA,NA,NA,NA,NA,NA,NA,NA,300000,310000,65000,70000
29th MARCH, 2023,Dar es Salaam,Temeke,114000,115000,200000,360000,150000,160000,130000,140000,200000,180000,200000,220000,280000,350000,60000,63000
29th MARCH, 2023,Dodoma,Majengo,120000,127000,270000,300000,93000,125000,122000,132000,155000,180000,184000,188000,270000,300000,70000,98000
29th MARCH, 2023,Dodoma,Kibaigwa,104000,115000,320000,380000,NA,NA,NA,NA,NA,NA,NA,NA,280000,280000,120000,120000
29th MARCH, 2023,Iringa,Iringa,120000,120000,280000,350000,150000,150000,180000,200000,150000,150000,200000,200000,280000,350000,60000,60000
29th MARCH, 2023,Kagera,Bukoba,108000,112000,260000,340000,150000,180000,180000,190000,160000,170000,200000,220000,250000,260000,85000,90000
29th MARCH, 2023,Katavi,Mpanda,90000,108000,200000,250000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,70000,70000
29th MARCH, 2023,Lindi,Lindi,130000,280000,280000,400000,160000,300000,NA,NA,NA,NA,250000,400000,280000,400000,120000,150000
29th MARCH, 2023,Mara,Musoma,110000,110000,220000,300000,130000,130000,250000,250000,250000,250000,NA,NA,NA,NA,105000,105000
29th MARCH, 2023,Morogoro,Morogoro,121000,132810,260000,320000,120000,125000,100000,110000,170000,160000,210000,220000,300000,320000,64400,67000
29th MARCH, 2023,Mtwara,Mtwara,120000,150000,280000,380000,300000,300000,NA,NA,200000,200000,NA,NA,320000,320000,200000,200000
29th MARCH, 2023,Mwanza,Mwanza,125000,130000,280000,340000,150000,200000,160000,200000,NA,NA,NA,NA,270000,350000,95000,120000
29th MARCH, 2023,Rukwa,Sumbawanga,85000,100000,260000,270000,NA,NA,NA,NA,120000,180000,160000,180000,120000,180000,NA,NA
29th MARCH, 2023,Ruvuma,Songea,100000,180000,280000,340000,NA,NA,NA,NA,NA,NA,NA,NA,300000,310000,95000,95000
29th MARCH, 2023,Shinyanga,Shinyanga,90000,160000,250000,380000,200000,200000,200000,200000,200000,200000,NA,NA,280000,320000,90000,100000
29th MARCH, 2023,Tanga,Tanga,118000,120000,280000,300000,160000,160000,NA,NA,180000,180000,180000,180000,272000,295000,70000,74000
