Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,120000,122000,270000,320000,80000,82000,82000,85000,117000,118000,NA,NA,230000,280000,90000,100000
Dar es Salaam,Kinondoni,130000,130000,340000,290000,160000,160000,140000,140000,160000,160000,NA,NA,320000,350000,70000,75000
Dar es Salaam,Ilala,120000,120000,270000,335000,NA,NA,NA,NA,NA,NA,NA,NA,310000,320000,78000,78000
Dodoma,Majengo,120000,127000,270000,300000,93000,125000,122000,132000,155000,180000,184000,188000,270000,300000,98000,70000
Dodoma,Kibaigwa,93000,110000,320000,350000,NA,NA,NA,NA,NA,NA,NA,NA,280000,280000,120000,120000
Iringa,Iringa,120000,120000,280000,350000,150000,150000,180000,200000,170000,170000,200000,200000,270000,300000,65000,65000
Kagera,Bukoba,108000,112000,340000,250000,150000,180000,180000,190000,140000,150000,200000,220000,260000,280000,90000,85000
Morogoro,Morogoro,97656,109375,320000,240000,135000,150000,100000,110000,160000,170000,210000,220000,250000,285000,79400,80600
Mwanza,Mwanza,130000,140000,270000,340000,NA,NA,NA,NA,NA,NA,NA,NA,260000,350000,120000,100000
Njombe,Njombe,80000,90000,260000,300000,180000,200000,NA,NA,200000,220000,200000,250000,300000,350000,60000,70000
Rukwa,Sumbawanga,75000,100000,280000,300000,NA,NA,NA,NA,120000,180000,150000,180000,180000,240000,NA,NA
Shinyanga,Shinyanga,90000,100000,250000,380000,180000,200000,120000,200000,200000,200000,NA,NA,280000,340000,100000,120000
Tabora,Tabora,78000,80000,290000,300000,160000,170000,NA,NA,190000,200000,NA,NA,250000,270000,90000,100000
