Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
14th APRIL, 2023,Arusha,Arusha,120000,122000,270000,320000,80000,82000,82000,85000,117000,118000,NA,NA,230000,280000,90000,100000
14th APRIL, 2023,Dar es Salaam,Kinondoni,130000,130000,290000,340000,160000,160000,140000,140000,160000,160000,NA,NA,320000,350000,70000,75000
14th APRIL, 2023,Dar es Salaam,Ilala,120000,120000,270000,335000,NA,NA,NA,NA,NA,NA,NA,NA,310000,320000,78000,78000
14th APRIL, 2023,Dodoma,Majengo,105000,120000,280000,320000,90000,100000,120000,130000,155000,180000,184000,188000,280000,300000,75000,98000
14th APRIL, 2023,Dodoma,Kibaigwa,85000,110000,320000,350000,100000,100000,NA,NA,NA,NA,NA,NA,280000,280000,120000,120000
14th APRIL, 2023,Iringa,Iringa,120000,120000,280000,350000,150000,150000,180000,200000,170000,170000,200000,200000,270000,300000,65000,65000
14th APRIL, 2023,Kagera,Bukoba,108000,112000,250000,340000,150000,180000,180000,190000,140000,150000,200000,220000,260000,280000,90000,85000
14th APRIL, 2023,Lindi,Lindi,100000,240000,230000,400000,160000,250000,NA,NA,NA,NA,250000,500000,270000,400000,100000,150000
14th APRIL, 2023,Mara,Mara,110000,110000,220000,300000,130000,130000,250000,250000,250000,250000,NA,NA,NA,NA,105000,105000
14th APRIL, 2023,Morogoro,Morogoro,97656,109375,240000,320000,135000,150000,100000,110000,160000,170000,210000,220000,250000,285000,79400,80600
14th APRIL, 2023,Mtwara,Mtwara,100000,130000,280000,400000,150000,150000,NA,NA,150000,150000,NA,NA,NA,NA,200000,200000
14th APRIL, 2023,Mwanza,Mwanza,130000,140000,270000,340000,NA,NA,NA,NA,NA,NA,NA,NA,260000,350000,120000,100000
14th APRIL, 2023,Njombe,Njombe,80000,90000,260000,300000,180000,200000,NA,NA,200000,220000,200000,250000,300000,350000,60000,70000
14th APRIL, 2023,Rukwa,Sumbawanga,75000,100000,280000,300000,NA,NA,NA,NA,120000,180000,150000,180000,180000,240000,NA,NA
14th APRIL, 2023,Ruviluma,Songea,100000,120000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,92000,92000
14th APRIL, 2023,Shinyanga,Shinyanga,90000,200000,250000,350000,56000,200000,120000,200000,180000,200000,200000,200000,250000,320000,100000,100000
14th APRIL, 2023,Tabora,Tabora,78000,80000,290000,300000,160000,170000,NA,NA,190000,200000,NA,NA,250000,270000,90000,100000
14th APRIL, 2023,Tanga,Tanga,117000,118000,286000,300000,145000,145000,NA,NA,195000,195000,180000,180000,285000,298000,78000,80000
