Date,Region,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
17th APRIL, 2023,Arusha,Arusha,100000,110000,250000,300000,90000,100000,110000,NA,95000,117000,118000,NA,240000,280000,90000,100000
17th APRIL, 2023,Dar es Salaam,Kinondoni,100000,104000,270000,300000,150000,150000,130000,130000,170000,160000,190000,200000,300000,340000,70000,75000
17th APRIL, 2023,Dodoma,Kibaigwa,85000,93000,320000,350000,100000,100000,NA,NA,NA,NA,NA,NA,280000,280000,120000,120000
17th APRIL, 2023,Kagera,Bukoba,104000,108000,360000,260000,180000,220000,200000,170000,180000,170000,200000,250000,250000,280000,90000,100000
17th APRIL, 2023,Katavi,Mpanda,60000,75000,200000,250000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,70000,70000
17th APRIL, 2023,Mara,Musoma,110000,110000,220000,300000,130000,130000,250000,250000,250000,250000,NA,NA,NA,NA,105000,105000
17th APRIL, 2023,Mwanza,Mwanza,120000,130000,320000,270000,NA,NA,NA,NA,NA,NA,NA,NA,260000,330000,90000,100000
17th APRIL, 2023,Njombe,Njombe,80000,90000,260000,300000,180000,200000,NA,NA,200000,220000,200000,250000,300000,350000,60000,70000
17th APRIL, 2023,Rukwa,Sumbawanga,75000,100000,280000,300000,NA,NA,NA,NA,120000,180000,150000,180000,180000,240000,NA,NA
17th APRIL, 2023,Ruviluma,Songea,100000,120000,280000,350000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,92000,92000
17th APRIL, 2023,Shinyanga,Shinyanga,95000,190000,250000,380000,56000,200000,125000,200000,200000,200000,200000,200000,280000,320000,100000,150000
17th APRIL, 2023,Tabora,Tabora,78000,80000,290000,300000,160000,170000,NA,NA,190000,200000,NA,NA,250000,270000,90000,100000
17th APRIL, 2023,Tanga,Tanga,119000,120000,286000,300000,145000,145000,NA,NA,195000,195000,180000,180000,285000,298000,80000,81000
