Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
19th APRIL, 2023,Arusha,Arusha,100000,110000,250000,300000,90000,100000,95000,110000,117000,118000,NA,NA,240000,280000,90000,100000
19th APRIL, 2023,Dar es Salaam,Kinondoni,100000,104000,270000,300000,150000,150000,130000,130000,160000,170000,190000,200000,300000,340000,70000,75000
19th APRIL, 2023,Dar es Salaam,Ilala,120000,120000,270000,320000,NA,NA,NA,NA,NA,NA,NA,NA,300000,320000,75000,75000
19th APRIL, 2023,Dodoma,Kibaigwa,85000,93000,320000,350000,100000,100000,NA,NA,NA,NA,NA,NA,280000,280000,120000,120000
19th APRIL, 2023,Iringa,Iringa,120000,120000,280000,350000,150000,150000,180000,200000,170000,170000,200000,200000,270000,300000,65000,65000
19th APRIL, 2023,Kagera,Bukoba,104000,108000,260000,360000,180000,220000,170000,200000,170000,180000,200000,250000,250000,280000,90000,100000
19th APRIL, 2023,Katavi,Mpanda,60000,75000,200000,250000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,70000,70000
19th APRIL, 2023,Kilimanjaro,Moshi,115000,125000,250000,370000,NA,NA,NA,NA,150000,150000,190000,280000,260000,280000,120000,120000
19th APRIL, 2023,Mara,Musoma,110000,110000,220000,300000,130000,130000,250000,250000,250000,250000,NA,NA,NA,NA,105000,105000
19th APRIL, 2023,Morogoro,Morogoro,109375,97656,240000,320000,135000,150000,100000,110000,160000,170000,210000,220000,250000,285000,86700,88900
19th APRIL, 2023,Mtwara,Mtwara,90000,120000,280000,400000,150000,150000,NA,NA,150000,150000,NA,NA,280000,280000,200000,200000
19th APRIL, 2023,Ruviluma,Songea,100000,120000,280000,340000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,90000,90000
19th APRIL, 2023,Shinyanga,Shinyanga,95000,190000,250000,380000,56000,200000,125000,200000,200000,200000,200000,200000,280000,320000,100000,150000
19th APRIL, 2023,Tabora,Tabora,78000,80000,290000,300000,160000,170000,NA,NA,190000,200000,NA,NA,250000,270000,90000,100000
19th APRIL, 2023,Tanga,Tanga,110000,118000,287000,300000,145000,145000,NA,NA,195000,195000,180000,180000,285000,298000,83000,82000
