Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-04-21,Arusha,Arusha,100000,103000,250000,300000,100000,NA,90000,NA,95000,NA,110000,NA,118000,240000,117000,280000,90000,100000
2023-04-21,Dar es Salaam,Kinondoni,100000,104000,300000,270000,150000,150000,130000,130000,170000,160000,190000,200000,300000,340000,75000,70000
2023-04-21,Dodoma,Kibaigwa,85000,95000,350000,320000,90000,90000,NA,NA,NA,NA,NA,NA,280000,280000,120000,120000
2023-04-21,Iringa,Iringa,120000,120000,350000,280000,150000,150000,180000,200000,170000,170000,200000,200000,270000,300000,65000,65000
2023-04-21,Kagera,Bukoba,104000,108000,244000,360000,180000,220000,170000,200000,180000,170000,200000,250000,250000,280000,90000,100000
2023-04-21,Katavi,Mpanda,60000,75000,200000,250000,NA,NA,NA,NA,NA,NA,NA,NA,180000,200000,70000,70000
2023-04-21,Kilimanjaro,Moshi,115000,125000,250000,370000,NA,NA,NA,NA,150000,150000,190000,280000,260000,280000,120000,120000
2023-04-21,Lindi,Lindi,100000,180000,250000,400000,250000,160000,NA,NA,NA,NA,NA,NA,270000,380000,120000,150000
2023-04-21,Morogoro,Morogoro,109375,97656,320000,240000,135000,150000,100000,110000,160000,170000,210000,220000,250000,285000,88900,86700
2023-04-21,Mtwara,Mtwara,120000,120000,280000,400000,150000,150000,NA,NA,150000,150000,NA,NA,280000,280000,150000,150000
2023-04-21,Rukwa,Sumbawanga,75000,90000,275000,300000,NA,NA,NA,NA,180000,120000,150000,180000,180000,240000,NA,NA
2023-04-21,Ruvi\uma,Songea,100000,120000,280000,340000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,90000,90000
2023-04-21,Shinyanga,Shinyanga,100000,190000,380000,280000,56000,200000,125000,200000,200000,200000,200000,200000,280000,320000,100000,150000
2023-04-21,Tabora,Tabora,78000,80000,290000,300000,170000,160000,NA,NA,190000,200000,NA,NA,250000,270000,90000,100000
2023-04-21,Tanga,Tanga,115000,118000,305000,290000,145000,145000,NA,NA,195000,195000,180000,180000,285000,298000,91000,90000
