Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
10th MAY, 2023,Arusha,Arusha,115000,120000,250000,300000,100000,,,90000,110000,95000,115000,117000,240000,270000,95000,100000
10th MAY, 2023,Dar es Salaam,Kinondoni,100000,125000,270000,300000,150000,150000,130000,130000,160000,170000,190000,200000,300000,340000,70000,75000
10th MAY, 2023,Dodoma,Kibaigwa,85000,90000,320000,350000,90000,90000,,,,,,,280000,280000,120000,120000
10th MAY, 2023,Dodoma,Majengo,120000,122000,290000,340000,90000,100000,130000,122000,160000,180000,180000,200000,280000,340000,75000,98000
10th MAY, 2023,Katavi,Mpanda,60000,75000,200000,250000,,,,,,,,,200000,200000,180000,200000,70000,70000
10th MAY, 2023,Kilimanjaro,Moshi,115000,125000,250000,370000,,,,,,150000,150000,190000,280000,260000,280000,120000,120000
10th MAY, 2023,Lindi,Lindi,100000,150000,240000,450000,300000,200000,,,,,,300000,400000,280000,360000,150000,110000
10th MAY, 2023,Morogoro,Morogoro,97656,109375,240000,320000,150000,135000,110000,100000,170000,160000,210000,220000,250000,270000,105000,111000
10th MAY, 2023,Mtwara,Mtwara,90000,130000,280000,380000,150000,150000,,,,150000,150000,,,,300000,300000,200000,200000
10th MAY, 2023,Ruvuma,Songea,90000,120000,280000,360000,,,,,,,,,,280000,300000,90000,90000
10th MAY, 2023,Tabora,Tabora,78000,80000,290000,300000,160000,170000,,,,190000,200000,,,,250000,270000,90000,100000
10th MAY, 2023,Bukoba,Bukoba,100000,105000,240000,350000,180000,220000,220000,170000,180000,170000,200000,250000,260000,280000,90000,100000
10th MAY, 2023,Manyara,Manyara,90000,120000,260000,320000,120000,130000,250000,200000,130000,120000,210000,230000,270000,300000,110000,110000
10th MAY, 2023,Tanga,Tanga,115000,116000,240000,302000,150000,150000,,,,197000,197000,180000,180000,280000,295000,91000,90000
