Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
05 JUNI, 2023,Arusha,Arusha,98000,100000,250000,320000,100000,NA,90000,115000,117000,95000,110000,NA,NA,240000,300000,115000,120000
05 JUNI, 2023,Dar es Salaam,Kinondoni,95000,95000,200000,350000,140000,140000,170000,160000,140000,150000,190000,200000,300000,340000,100000,100000
05 JUNI, 2023,Dar es Salaam,Tandika,150000,135000,200000,330000,150000,160000,130000,140000,180000,200000,200000,220000,290000,350000,120000,130000
05 JUNI, 2023,Dodoma,Kibaigwa,88000,85000,320000,350000,75000,65000,NA,NA,NA,NA,NA,NA,320000,320000,120000,120000
05 JUNI, 2023,Dodoma,Majengo,122000,120000,290000,340000,90000,100000,130000,180000,122000,160000,180000,200000,280000,340000,75000,98000
05 JUNI, 2023,Katavi,Mpanda,60000,75000,200000,250000,NA,NA,NA,NA,NA,NA,200000,200000,180000,200000,70000,70000
05 JUNI, 2023,Kilimanjaro,Moshi,125000,115000,250000,370000,NA,NA,150000,150000,NA,NA,190000,280000,260000,280000,120000,120000
05 JUNI, 2023,Lindi,Lindi,120000,90000,200000,380000,220000,160000,NA,NA,NA,NA,NA,NA,260000,360000,120000,150000
05 JUNI, 2023,Morogoro,Morogoro,109375,97656,240000,320000,135000,150000,170000,160000,110000,100000,210000,220000,250000,295000,108000,111100
05 JUNI, 2023,Mtwara,Mtwara,120000,100000,250000,340000,150000,150000,150000,150000,NA,NA,NA,NA,300000,300000,200000,200000
05 JUNI, 2023,Iringa,Iringa,90000,100000,180000,300000,150000,150000,170000,170000,200000,180000,200000,200000,250000,300000,70000,70000
05 JUNI, 2023,Tabora,Tabora,80000,78000,290000,300000,170000,160000,190000,200000,NA,NA,NA,NA,250000,270000,90000,100000
05 JUNI, 2023,Bukoba,Bukoba,105000,100000,196000,280000,200000,170000,180000,200000,170000,170000,200000,250000,200000,250000,90000,100000
05 JUNI, 2023,Mwanza,Mwanza,125000,112000,220000,300000,150000,180000,200000,140000,NA,NA,NA,NA,280000,330000,100000,120000
05 JUNI, 2023,Manyara,Manyara,120000,90000,260000,320000,130000,120000,130000,120000,250000,200000,210000,230000,270000,300000,110000,110000
05 JUNI, 2023,Mara,Musoma,115000,115000,220000,220000,130000,130000,250000,250000,250000,250000,NA,NA,180000,180000,100000,100000
05 JUNI, 2023,Sumbawanga,Sumbawanga,65000,60000,200000,220000,NA,NA,100000,75000,NA,NA,75000,100000,180000,195000,75000,75000
05 JUNI, 2023,Tanga,Tanga,116000,115000,240000,302000,150000,150000,197000,197000,NA,NA,180000,180000,280000,295000,90000,91000
