Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Arusha,Arusha,100000,106000,250000,NA,100000,90000,320000,110000,95000,115000,117000,NA,240000,280000,115000,120000
Dar es Salaam,Tandika,135000,150000,200000,160000,330000,150000,140000,130000,180000,200000,200000,220000,290000,350000,120000,130000
Dodoma,Kibaigwa,85000,88000,320000,75000,350000,65000,NA,NA,NA,NA,NA,NA,320000,320000,120000,120000
Morogoro,Morogoro,97656,109375,200000,150000,135000,340000,110000,100000,170000,160000,210000,220000,280000,335000,108000,111100
Mtwara,Mtwara,100000,120000,250000,150000,150000,340000,NA,NA,150000,150000,NA,NA,300000,300000,200000,200000
Iringa,Iringa,90000,100000,180000,150000,150000,300000,200000,180000,170000,170000,200000,200000,250000,300000,70000,70000
Tabora,Tabora,78000,80000,290000,300000,170000,160000,NA,NA,200000,190000,NA,NA,250000,270000,90000,100000
Shinyanga,Shinyanga,100000,150000,220000,150000,280000,70000,150000,200000,200000,200000,200000,200000,280000,300000,120000,150000
Mwanza,Mwanza,112000,125000,220000,180000,150000,300000,200000,140000,NA,NA,NA,NA,280000,330000,120000,100000
Kagera,Bukoba,100000,105000,196000,200000,170000,280000,170000,200000,180000,170000,170000,200000,200000,250000,90000,100000
Mara,Musoma,115000,115000,220000,130000,130000,220000,250000,250000,250000,250000,NA,NA,180000,180000,100000,100000
Manyara,Manyara,130000,132000,220000,230000,220000,240000,110000,100000,150000,120000,140000,150000,270000,300000,95000,100000
Ruvuma,Songea,60000,65000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,250000,280000,90000,90000
Sumbawanga,Sumbawanga,60000,65000,170000,200000,NA,NA,NA,NA,105000,150000,90000,90000,180000,210000,65000,75000
Tanga,Tanga,105000,107000,240000,250000,140000,140000,NA,NA,197000,197000,180000,180000,280000,297000,120000,120000
