Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
JULY, 2023,Arusha,Arusha,98000,100000,240000,300000,80000,NA,75000,NA,85000,NA,80000,NA,90000,NA,95000,NA
JULY, 2023,Dar es Salaam,Tandika,135000,150000,200000,330000,160000,NA,150000,NA,130000,NA,140000,NA,180000,NA,200000,NA
JULY, 2023,Dodoma,Kibaigwa,85000,88000,320000,350000,75000,NA,65000,NA,NA,NA,NA,NA,NA,NA,320000,NA
JULY, 2023,Dodoma,Majengo,83000,87000,240000,285000,105000,NA,80000,NA,125000,NA,100000,NA,86000,NA,100000,NA
JULY, 2023,Morogoro,Morogoro,93750,97700,300000,340000,150000,NA,135000,NA,100000,NA,110000,NA,160000,NA,170000,NA
JULY, 2023,Mtwara,Mtwara,100000,120000,250000,340000,150000,NA,150000,NA,NA,NA,NA,NA,150000,NA,150000,NA
JULY, 2023,Iringa,Iringa,60000,75000,180000,300000,150000,NA,150000,NA,180000,NA,200000,NA,170000,NA,170000,NA
JULY, 2023,Tabora,Tabora,84000,86000,190000,220000,170000,NA,160000,NA,NA,NA,NA,NA,190000,NA,200000,NA
JULY, 2023,Lindi,Lindi,80000,150000,200000,350000,160000,NA,150000,NA,NA,NA,NA,NA,NA,NA,250000,NA
JULY, 2023,Shinyanga,Shinyanga,100000,150000,220000,280000,150000,NA,70000,NA,200000,NA,150000,NA,200000,NA,200000,NA
JULY, 2023,Mwanza,Mwanza,108000,120000,190000,240000,180000,NA,140000,NA,200000,NA,150000,NA,NA,NA,NA,NA
JULY, 2023,Kagera,Bukoba,106000,110000,190000,340000,180000,NA,250000,NA,190000,NA,200000,NA,160000,NA,170000,NA
JULY, 2023,Mara,Musoma,115000,115000,220000,220000,130000,NA,130000,NA,250000,NA,250000,NA,250000,NA,250000,NA
JULY, 2023,Manyara,Manyara,130000,132000,220000,240000,220000,NA,230000,NA,110000,NA,100000,NA,120000,NA,150000,NA
JULY, 2023,Ruvuma,Songea,60000,65000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JULY, 2023,Sumbawanga,Sumbawanga,68000,75000,160000,200000,NA,NA,NA,NA,NA,NA,60000,NA,90000,NA,75000,NA
JULY, 2023,Tanga,Tanga,105000,107000,240000,250000,140000,NA,140000,NA,NA,NA,197000,NA,197000,NA,180000,NA
