Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
7th August 2023,Arusha,Arusha,93000,94000,220000,260000,75000,NA,70000,80000,85000,90000,80000,135000,140000,220000,250000,85000,80000
7th August 2023,Dodoma,Kibaigwa,84000,86000,NA,NA,55000,80000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7th August 2023,Morogoro,Morogoro,93750,97700,230000,320000,135000,150000,100000,110000,160000,170000,210000,220000,250000,300000,52000,50000
7th August 2023,Iringa,Iringa,70000,85000,180000,320000,150000,150000,180000,200000,170000,170000,200000,200000,240000,300000,75000,75000
7th August 2023,Tabora,Tabora,90000,96000,190000,220000,170000,160000,NA,NA,190000,200000,NA,NA,240000,300000,90000,100000
7th August 2023,Kagera,Bukoba,105000,110000,190000,350000,180000,220000,170000,200000,170000,180000,200000,250000,250000,280000,90000,100000
7th August 2023,Mara,Musoma,100000,100000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
7th August 2023,Manyara,Manyara,130000,132000,220000,240000,220000,230000,100000,110000,120000,150000,140000,150000,270000,300000,95000,100000
7th August 2023,Ruvuma,Songea,60000,70000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,250000,300000,92000,85000
7th August 2023,Mwanza,Mwanza,110000,120000,200000,260000,180000,150000,150000,200000,NA,NA,NA,NA,260000,300000,95000,80000
7th August 2023,Sumbawanga,Sumbawanga,75000,85000,170000,200000,NA,NA,NA,NA,75000,120000,60000,85000,160000,220000,90000,75000
