Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Max Price,Wheat Grain Min Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
9th August 2023,Arusha,Arusha,93000,94000,220000,260000,70000,75000,80000,85000,90000,80000,135000,140000,220000,250000,85000,80000
9th August 2023,Dodoma,Kibaigwa,100000,120000,230000,270000,55000,80000,NA,NA,120000,100000,NA,NA,250000,280000,60000,80000
9th August 2023,Morogoro,Morogoro,93750,97700,230000,320000,135000,150000,100000,110000,160000,170000,210000,220000,250000,270000,52000,50000
9th August 2023,Iringa,Iringa,70000,85000,180000,320000,150000,150000,180000,200000,170000,170000,200000,200000,240000,300000,75000,75000
9th August 2023,Tabora,Tabora,90000,96000,190000,220000,160000,170000,NA,NA,190000,200000,NA,NA,240000,300000,90000,100000
9th August 2023,Kagera,Bukoba,105000,110000,190000,350000,180000,220000,170000,200000,170000,180000,200000,250000,250000,280000,90000,100000
9th August 2023,Mara,Musoma,100000,100000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
9th August 2023,Manyara,Manyara,105000,110000,230000,240000,70000,70000,NA,NA,NA,NA,140000,150000,280000,300000,62000,62000
9th August 2023,Ruvuma,Songea,80000,90000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,250000,280000,85000,85000
9th August 2023,Mwanza,Mwanza,110000,120000,200000,260000,150000,180000,150000,200000,NA,NA,NA,NA,260000,300000,80000,95000
9th August 2023,Sumbawanga,Sumbawanga,85000,90000,180000,200000,NA,NA,NA,NA,150000,105000,60000,85000,160000,200000,70000,60000
