Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
14th August 2023,Arusha,Arusha,93000,94000,240000,260000,70000,75000,80000,85000,90000,NA,85000,135000,140000,220000,250000,80000,85000
14th August 2023,Dodoma,Kibaigwa,100000,120000,230000,270000,55000,80000,NA,NA,100000,120000,NA,NA,250000,280000,60000,80000
14th August 2023,Morogoro,Morogoro,93750,97700,180000,320000,150000,135000,100000,110000,160000,170000,200000,220000,250000,280000,55000,52000
14th August 2023,Mtwara,Mtwara DC,120000,120000,NA,NA,150000,150000,NA,NA,200000,200000,NA,NA,320000,320000,NA,NA
14th August 2023,Iringa,Iringa,70000,80000,200000,330000,150000,150000,180000,200000,150000,150000,200000,200000,240000,300000,60000,60000
14th August 2023,Tabora,Tabora,90000,96000,190000,220000,170000,160000,NA,NA,190000,200000,NA,NA,240000,300000,90000,100000
14th August 2023,Kagera,Bukoba,110000,112000,190000,300000,200000,170000,150000,170000,160000,140000,220000,230000,210000,250000,100000,90000
14th August 2023,Mara,Musoma,100000,100000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
14th August 2023,Manyara,Manyara,105000,110000,230000,240000,70000,70000,170000,170000,180000,180000,140000,150000,280000,300000,62000,62000
14th August 2023,Ruvuma,Songea,85000,90000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,260000,280000,90000,85000
14th August 2023,Mwanza,Mwanza,110000,125000,180000,300000,200000,150000,150000,200000,200000,180000,NA,NA,240000,300000,90000,80000
14th August 2023,Sumbawanga,Sumbawanga,85000,90000,180000,200000,NA,NA,NA,NA,150000,105000,60000,85000,160000,200000,60000,70000
