Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Millet Min Price,Millet Max Price,Finger Wheat Grain Min Price,Finger Wheat Grain Max Price,Beans Max Price,Beans Min Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-09-06,Kilimanjaro,moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
2023-09-06,Singida,Singida,85000,85000,220000,350000,120000,90000,80000,80000,90000,90000,NA,NA,400000,260000,80000,100000
2023-09-06,Arusha,Arusha,91000,92000,260000,340000,70000,75000,85000,95000,90000,85000,NA,NA,280000,200000,80000,75000
2023-09-06,Dodoma,Majengo,103000,115000,220000,285000,730000,85000,73000,78000,105000,120000,NA,NA,295000,255000,55000,80000
2023-09-06,Morogoro,Morogoro,82000,86000,180000,340000,135000,150000,100000,110000,160000,170000,230000,240000,260000,200000,56000,57500
2023-09-06,Mtwara,Mtwara DC,90000,100000,250000,300000,150000,150000,100000,110000,200000,200000,180000,200000,320000,320000,200000,200000
2023-09-06,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,165000,150000,NA,NA,300000,240000,60000,60000
2023-09-06,Tanga,Tanga,110000,110000,230000,230000,130000,130000,130000,130000,200000,200000,NA,NA,270000,270000,70000,70000
2023-09-06,Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,200000,190000,NA,NA,300000,280000,90000,100000
2023-09-06,Kagera,Bukoba,105000,110000,190000,300000,190000,180000,160000,170000,160000,150000,220000,230000,250000,220000,90000,100000
2023-09-06,Mara,Musoma,95000,95000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
2023-09-06,Manyara,Manyara,96000,120000,230000,300000,90000,80000,100000,120000,100000,120000,120000,130000,240000,210000,85000,85000
2023-09-06,Mbeya,mbeya,80000,80000,270000,270000,100000,100000,150000,150000,150000,150000,170000,170000,230000,230000,70000,70000
2023-09-06,Ruvuma,Songea,82000,90000,260000,320000,NA,NA,NA,NA,NA,NA,NA,NA,300000,260000,98000,95000
2023-09-06,Shinyanga,Shinyanga,90000,110000,200000,320000,65000,160000,80000,120000,180000,200000,NA,NA,300000,300000,120000,100000
2023-09-06,"Dar es saalam",ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,NA,NA
2023-09-06,Mwanza,Mwanza,120000,130000,200000,250000,150000,200000,NA,NA,NA,NA,NA,NA,300000,250000,95000,95000
2023-09-06,Sumbawanga,Sumbawanga,80000,85000,180000,220000,NA,NA,NA,NA,90000,150000,NA,NA,200000,160000,75000,75000
