Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Kilimanjaro,moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
Singida,Singida,85000,90000,350000,200000,90000,100000,85000,90000,85000,85000,200000,260000,260000,400000,80000,90000
Arusha,Arusha,95000,96000,340000,220000,70000,75000,80000,85000,85000,90000,125000,130000,190000,240000,75000,80000
Dodoma,Majengo,110000,130000,220000,285000,70000,85000,72000,78000,105000,115000,36000,37500,255000,290000,55000,80000
Dodoma,Kibaigwa,100000,120000,230000,270000,55000,80000,NA,NA,120000,160000,NA,NA,250000,280000,60000,80000
Morogoro,Morogoro,82000,86000,340000,180000,135000,150000,100000,110000,160000,170000,200000,220000,200000,280000,52000,53000
Mtwara,Mtwara DC,70000,100000,250000,300000,150000,150000,150000,150000,200000,200000,180000,200000,320000,320000,150000,150000
Iringa,Iringa,70000,80000,330000,200000,150000,150000,180000,200000,150000,150000,200000,200000,240000,300000,60000,60000
Tanga,Tanga,120000,120000,220000,220000,130000,130000,140000,140000,200000,200000,NA,NA,230000,230000,75000,75000
Tabora,Tabora,98000,102000,240000,220000,150000,170000,NA,NA,190000,200000,NA,NA,280000,300000,90000,100000
Kagera,Bukoba,110000,113000,190000,300000,170000,200000,150000,170000,140000,160000,220000,230000,230000,260000,90000,100000
Mara,Musoma,100000,100000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
Manyara,Manyara,105000,110000,230000,240000,70000,70000,170000,170000,180000,180000,NA,NA,280000,300000,62000,62000
Mbeya,mbeya,75000,75000,270000,270000,100000,100000,150000,150000,150000,150000,170000,170000,225000,225000,70000,70000
Ruvuma,Songea,80000,90000,260000,320000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,90000,95000
Shinyanga,Shinyanga,90000,100000,200000,320000,60000,65000,100000,140000,200000,200000,NA,NA,260000,280000,120000,120000
Dar es saalam,ilala,100000,100000,220000,220000,180000,180000,180000,180000,220000,220000,NA,NA,300000,300000,NA,NA
Mwanza,Mwanza,110000,125000,200000,300000,150000,200000,150000,200000,180000,200000,NA,NA,240000,300000,85000,85000
Sumbawanga,Sumbawanga,75000,85000,170000,220000,NA,NA,NA,NA,90000,150000,NA,NA,180000,200000,75000,75000
