Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2023-09-25,Kilimanjaro,Moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
2023-09-25,Singida,Singida,75000,85000,220000,350000,120000,120000,80000,95000,80000,95000,NA,NA,190000,260000,80000,85000
2023-09-25,Arusha,Arusha,83000,125000,260000,350000,70000,75000,95000,113000,NA,NA,190000,278000,75000,80000
2023-09-25,Dodoma,Majengo,84000,133000,232000,290000,75000,85000,73000,87000,NA,NA,260000,305000,56800,82000
2023-09-25,Morogoro,Morogoro,82000,100000,180000,340000,135000,150000,100000,120000,160000,170000,240000,250000,61000,63000
2023-09-25,Mtwara,Mtwara DC,86000,100000,250000,300000,150000,150000,110000,120000,150000,150000,NA,NA,75000,75000
2023-09-25,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,60000,60000
2023-09-25,Tanga,Tanga,130000,130000,230000,230000,120000,120000,150000,150000,170000,170000,NA,NA,260000,260000,65000,65000
2023-09-25,Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,190000,200000,NA,NA,280000,300000,90000,100000
2023-09-25,Kagera,Bukoba,105000,108000,190000,300000,180000,190000,160000,170000,150000,160000,220000,230000,230000,260000,85000,90000
2023-09-25,Mara,Musoma,97000,97000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
2023-09-25,Manyara,Manyara,95000,114000,240000,300000,80000,90000,100000,120000,100000,120000,120000,130000,210000,240000,90000,90000
2023-09-25,Mbeya,Mbeya,75000,75000,280000,280000,150000,150000,150000,150000,150000,150000,170000,170000,225000,225000,75000,75000
2023-09-25,Ruvuma,Songea,62000,62000,270000,320000,NA,NA,NA,NA,NA,NA,NA,NA,220000,250000,94000,96000
2023-09-25,Shinyanga,Shinyanga,95000,110000,200000,320000,65000,160000,70000,120000,150000,200000,NA,NA,270000,280000,75000,120000
2023-09-25,"Dar es saalam",Ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,NA,NA
2023-09-25,Mwanza,Mwanza,125000,125000,220000,260000,180000,180000,150000,200000,NA,NA,NA,NA,280000,280000,100000,100000
2023-09-25,Sumbawanga,Sumbawanga,70000,75000,200000,240000,NA,NA,NA,NA,105000,160000,NA,NA,160000,200000,70000,75000
