Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
20TH SEPTEMBER 2023,Kilimanjaro,Moshi,105000,105000,350000,350000,NA,NA,200000,200000,150000,150000,NA,NA,300000,300000,85000,85000
20TH SEPTEMBER 2023,Singida,Singida,85000,85000,220000,350000,90000,120000,90000,90000,NA,NA,80000,80000,260000,400000,80000,100000
20TH SEPTEMBER 2023,Arusha,Arusha,83000,84000,260000,340000,70000,75000,95000,100000,85000,90000,NA,NA,190000,260000,75000,80000
20TH SEPTEMBER 2023,Dodoma,Majengo,125000,130000,232000,290000,78000,85000,72500,84000,113000,125000,NA,NA,278000,300000,56000,82000
20TH SEPTEMBER 2023,Morogoro,Morogoro,82000,86000,180000,340000,135000,150000,100000,120000,160000,170000,240000,250000,220000,270000,56000,57000
20TH SEPTEMBER 2023,Mtwara,Mtwara DC,70000,70000,260000,300000,150000,150000,110000,120000,150000,150000,NA,NA,290000,290000,70000,70000
20TH SEPTEMBER 2023,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,60000,60000
20TH SEPTEMBER 2023,Tanga,Tanga,110000,110000,240000,240000,120000,120000,130000,130000,200000,200000,NA,NA,260000,260000,65000,65000
20TH SEPTEMBER 2023,Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,190000,200000,NA,NA,220000,240000,90000,90000
20TH SEPTEMBER 2023,Kagera,Bukoba,105000,110000,210000,320000,160000,180000,180000,190000,170000,190000,200000,200000,280000,300000,100000,95000
20TH SEPTEMBER 2023,Mara,Musoma,95000,95000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
20TH SEPTEMBER 2023,Manyara,Manyara,95000,114000,240000,300000,80000,90000,100000,120000,100000,120000,120000,130000,210000,240000,90000,90000
20TH SEPTEMBER 2023,Mbeya,Mbeya,75000,75000,280000,280000,150000,150000,150000,150000,150000,150000,170000,170000,225000,225000,70000,70000
20TH SEPTEMBER 2023,Ruvuma,Songea,83000,90000,280000,320000,NA,NA,NA,NA,NA,NA,NA,NA,270000,300000,94000,98000
20TH SEPTEMBER 2023,Shinyanga,Shinyanga,95000,110000,200000,320000,65000,160000,70000,120000,150000,200000,NA,NA,270000,280000,75000,120000
20TH SEPTEMBER 2023,Dar es saalam,Ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,NA,NA
20TH SEPTEMBER 2023,Mwanza,Mwanza,105000,120000,220000,250000,150000,200000,150000,200000,NA,NA,NA,NA,255000,300000,100000,100000
20TH SEPTEMBER 2023,Sumbawanga,Sumbawanga,75000,85000,180000,240000,NA,NA,NA,NA,90000,150000,NA,NA,160000,200000,75000,75000
