Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,FingerMillet_MaxPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,Potatoes_MinPrice,Potatoes_MaxPrice
30th August 2023,Kilimanjaro,moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
30th August 2023,Singida,Singida,85000,90000,200000,350000,90000,100000,85000,90000,85000,85000,200000,260000,260000,400000,80000,90000
30th August 2023,Arusha,Arusha,90000,93000,220000,340000,70000,75000,80000,85000,85000,90000,NA,NA,190000,280000,80000,75000
30th August 2023,Dodoma,Majengo,110000,130000,220000,285000,70000,85000,72000,78000,105000,115000,36000,37500,255000,290000,55000,80000
30th August 2023,Dodoma,Kibaigwa,100000,120000,230000,270000,55000,80000,NA,NA,120000,160000,NA,NA,250000,280000,60000,80000
30th August 2023,Morogoro,Morogoro,82000,90000,180000,340000,135000,150000,100000,110000,160000,170000,210000,260000,53000,200000
30th August 2023,Mtwara,Mtwara DC,86000,100000,250000,300000,150000,150000,150000,150000,200000,200000,320000,320000,62700,200000
30th August 2023,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,200000,200000,240000,300000,60000,60000
30th August 2023,Tanga,Tanga,85000,90000,240000,245000,150000,150000,140000,140000,190000,190000,180000,180000,240000,245000,80000,80000
30th August 2023,Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,190000,200000,NA,NA,280000,300000,90000,100000
30th August 2023,Kagera,Bukoba,110000,113000,190000,300000,180000,200000,150000,170000,150000,160000,220000,230000,225000,250000,90000,100000
30th August 2023,Mara,Musoma,95000,95000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
30th August 2023,Manyara,Manyara,105000,110000,230000,240000,70000,70000,170000,170000,180000,180000,NA,NA,280000,300000,62000,62000
30th August 2023,Mbeya,mbeya,75000,75000,270000,270000,100000,100000,150000,150000,150000,150000,170000,170000,225000,225000,70000,70000
30th August 2023,Ruvuma,Songea,80000,90000,260000,320000,NA,NA,NA,NA,NA,NA,NA,NA,260000,300000,95000,90000
30th August 2023,Shinyanga,Shinyanga,90000,100000,200000,320000,60000,65000,100000,140000,200000,200000,NA,NA,260000,280000,120000,120000
30th August 2023,Dar es saalam,ilala,100000,100000,220000,220000,180000,180000,180000,180000,220000,220000,NA,NA,300000,300000,NA,NA
30th August 2023,Mwanza,Mwanza,120000,125000,200000,300000,150000,200000,150000,200000,180000,200000,NA,NA,250000,300000,95000,95000
30th August 2023,Sumbawanga,Sumbawanga,75000,85000,170000,220000,NA,NA,NA,NA,90000,150000,NA,NA,180000,200000,75000,75000
