Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Kilimanjaro,Moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
Singida,Singida,75000,85000,220000,350000,120000,120000,80000,95000,80000,95000,NA,NA,190000,260000,80000,85000
Arusha,Arusha,80000,82000,260000,350000,70000,75000,95000,100000,85000,90000,NA,NA,190000,260000,75000,80000
Dodoma,Majengo,77000,98000,235000,290000,72000,85000,70000,78000,112500,125000,NA,NA,270000,300000,57000,80000
Morogoro,Morogoro,76000,79000,240000,260000,135000,150000,100000,120000,160000,170000,240000,260000,62500,70000
Mtwara,Mtwara DC,70000,70000,340000,300000,150000,150000,110000,120000,120000,150000,180000,290000,63000,70000
Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,50000,60000
Tanga,Tanga,100000,100000,230000,230000,120000,120000,110000,110000,180000,180000,NA,NA,250000,250000,65000,65000
Tabora,Tabora,98000,105000,220000,190000,150000,180000,NA,160000,190000,150000,220000,NA,280000,230000,90000,85000
Kagera,Bukoba,102000,110000,240000,300000,170000,190000,170000,200000,NA,230000,NA,260000,90000,100000
Mara,Musoma,97000,97000,180000,180000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
Manyara,Manyara,95000,114000,240000,300000,80000,90000,100000,120000,100000,120000,120000,130000,210000,240000,90000,90000
Mbeya,Mbeya,75000,75000,280000,280000,150000,150000,150000,150000,150000,150000,170000,170000,225000,225000,75000,75000
Ruvuma,Songea,68000,68000,270000,320000,NA,NA,NA,NA,NA,NA,NA,NA,280000,300000,94000,98000
Shinyanga,Shinyanga,95000,110000,200000,300000,70000,150000,70000,120000,150000,200000,NA,NA,270000,280000,75000,120000
Dar es saalam,Ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,NA,NA
Mwanza,Mwanza,105000,120000,280000,320000,150000,200000,180000,180000,NA,NA,NA,NA,280000,350000,100000,100000
Sumbawanga,Sumbawanga,70000,72000,200000,240000,NA,NA,NA,NA,105000,160000,NA,NA,170000,200000,70000,75000
