Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Kilimanjaro,Moshi,105000,105000,350000,350000,NA,NA,NA,NA,200000,200000,150000,150000,300000,300000,85000,85000
Singida,Singida,75000,80000,220000,350000,90000,150000,65000,70000,80000,95000,NA,240000,80000,90000
Arusha,Arusha,74000,76000,260000,350000,75000,80000,95000,100000,90000,92000,NA,200000,85000,80000
Dodoma,Majengo,65000,85000,235000,295000,73000,84000,73000,78000,113000,125000,NA,270000,58000,75000
Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,270000,82000,78000
Mtwara,Mtwara Dc,75000,90000,250000,300000,150000,150000,100000,100000,120000,120000,180000,320000,50000,50000
Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,240000,55000,60000
Tanga,Tanga,100000,100000,230000,230000,130000,130000,100000,100000,180000,180000,NA,260000,75000,100000
Tabora,Tabora,98000,102000,220000,240000,150000,170000,NA,NA,190000,200000,NA,280000,75000,90000
Kagera,Bukoba,108000,112000,230000,300000,180000,190000,160000,170000,150000,160000,220000,230000,90000,85000
Mara,Musoma,98000,98000,200000,200000,130000,130000,250000,250000,250000,250000,NA,200000,100000,100000
Manyara,Manyara,95000,114000,240000,320000,80000,90000,100000,120000,100000,120000,120000,240000,85000,95000
Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,200000,250000,80000,80000
Ruvuma,Songea,60000,65000,280000,330000,NA,NA,NA,NA,80000,80000,NA,250000,94000,100000
Shinyanga,Shinyanga,95000,110000,200000,300000,70000,150000,70000,120000,180000,210000,NA,240000,120000,NA
Dar es saalam,Ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,290000,75000,NA
Mwanza,Mwanza,100000,115000,250000,320000,150000,200000,180000,180000,NA,NA,NA,250000,100000,100000
Sumbawanga,Sumbawanga,68000,72000,200000,240000,NA,NA,NA,NA,120000,160000,NA,170000,60000,75000
