Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,150000,150000,280000,350000,110000,115000
Singida,Singida,75000,80000,220000,350000,90000,150000,65000,70000,80000,95000,95000,NA,240000,400000,85000,90000
Arusha,Arusha,74000,76000,260000,350000,75000,80000,95000,100000,90000,92000,NA,NA,200000,270000,80000,80000
Dodoma,Majengo,68000,80000,235000,295000,70000,82000,70000,74000,113000,130000,NA,NA,275000,300000,60000,78000
Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,235000,300000,320000,80000,78000
Mtwara,Mtwara Dc,75000,90000,250000,300000,150000,150000,100000,100000,120000,120000,180000,180000,320000,320000,50000,50000
Iringa,Iringa,80000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,55000,60000
Tanga,Tanga,110000,110000,230000,230000,130000,130000,100000,100000,180000,180000,NA,NA,260000,260000,75000,90000
Tabora,Tabora,94000,98000,220000,240000,150000,170000,NA,NA,190000,200000,NA,NA,260000,290000,75000,100000
Kagera,Bukoba,100000,105000,220000,340000,170000,180000,170000,180000,160000,160000,200000,220000,220000,250000,90000,85000
Mara,Musoma,98000,98000,200000,200000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
Manyara,Manyara,90000,114000,240000,320000,80000,90000,100000,120000,100000,120000,120000,130000,220000,240000,90000,95000
Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
Ruvuma,Songea,60000,65000,280000,330000,60000,60000,NA,NA,80000,80000,NA,NA,250000,280000,94000,96000
Shinyanga,Shinyanga,95000,110000,200000,300000,70000,150000,70000,120000,180000,210000,NA,NA,240000,270000,75000,NA
Dar es saalam,Ilala,100000,100000,210000,210000,180000,180000,180000,180000,210000,210000,NA,NA,290000,290000,120000,NA
Mwanza,Mwanza,100000,105000,250000,320000,150000,200000,180000,180000,NA,NA,NA,NA,250000,350000,100000,100000
Sumbawanga,Sumbawanga,70000,75000,200000,240000,NA,NA,NA,NA,120000,160000,NA,NA,170000,200000,60000,75000
