Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
30 OKTOBA, 2023,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,150000,150000,280000,350000,115000,110000
30 OKTOBA, 2023,Singida,Singida,75000,80000,220000,350000,99000,119000,70000,80000,130000,160000,NA,NA,250000,400000,85000,80000
30 OKTOBA, 2023,Arusha,Arusha,74000,76000,260000,350000,75000,80000,95000,100000,90000,92000,NA,NA,200000,270000,85000,80000
30 OKTOBA, 2023,Dodoma,Majengo,67000,72000,235000,298000,68000,72000,67000,70000,113000,130000,NA,NA,270000,300000,80000,61000
30 OKTOBA, 2023,Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,235000,300000,330000,78000,78000
30 OKTOBA, 2023,Mtwara,Mtwara Dc,75000,90000,250000,300000,150000,150000,100000,100000,120000,120000,180000,180000,320000,320000,50000,50000
30 OKTOBA, 2023,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,65000,55000
30 OKTOBA, 2023,Tanga,Tanga,110000,110000,240000,240000,130000,130000,136000,136000,200000,200000,NA,NA,245000,245000,75000,75000
30 OKTOBA, 2023,Tabora,Tabora,94000,98000,220000,240000,150000,170000,NA,NA,190000,200000,NA,NA,260000,290000,90000,100000
30 OKTOBA, 2023,Kagera,Bukoba,100000,105000,220000,340000,170000,180000,170000,180000,160000,170000,200000,220000,220000,260000,95000,80000
30 OKTOBA, 2023,Mara,Musoma,98000,98000,200000,200000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
30 OKTOBA, 2023,Manyara,Manyara,90000,114000,240000,320000,80000,90000,100000,120000,100000,120000,120000,130000,225000,240000,100000,100000
30 OKTOBA, 2023,Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
30 OKTOBA, 2023,Ruvuma,Songea,60000,65000,280000,330000,60000,60000,NA,NA,80000,80000,NA,NA,250000,280000,96000,94000
30 OKTOBA, 2023,Shinyanga,Shinyanga,110000,110000,200000,300000,78000,150000,78000,120000,180000,200000,NA,NA,250000,300000,120000,80000
30 OKTOBA, 2023,"Dar es saalam",Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,200000,NA,NA,290000,290000,100000,100000
30 OKTOBA, 2023,Mwanza,Sumbawanga,102000,110000,250000,320000,160000,200000,180000,180000,NA,NA,NA,NA,250000,330000,100000,100000
30 OKTOBA, 2023,Mwanza,Sumbawanga,70000,75000,180000,220000,NA,NA,NA,NA,175000,200000,NA,NA,150000,200000,75000,75000
