Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-11-08,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,150000,150000,280000,350000,110000,115000
2023-11-08,Singida,Singida,67000,70000,200000,350000,90000,120000,60000,65000,150000,170000,NA,NA,250000,400000,90000,85000
2023-11-08,Arusha,Arusha,74000,75000,260000,340000,75000,80000,95000,100000,85000,87000,NA,NA,200000,270000,95000,85000
2023-11-08,Dodoma,Majengo,68000,75000,245000,290000,75000,85000,60000,70000,135000,145000,NA,NA,270000,300000,84000,63000
2023-11-08,Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,235000,290000,300000,77700,75500
2023-11-08,Mtwara,Mtwara Dc,85000,90000,250000,300000,150000,150000,100000,100000,150000,150000,180000,180000,320000,320000,50000,50000
2023-11-08,Iringa,Iringa,70000,80000,200000,300000,150000,150000,180000,200000,150000,165000,NA,NA,240000,300000,55000,60000
2023-11-08,Tanga,Tanga,110000,110000,250000,250000,130000,130000,136000,136000,180000,180000,NA,NA,260000,260000,75000,75000
2023-11-08,Tabora,Tabora,90000,95000,220000,240000,150000,170000,190000,200000,190000,200000,NA,NA,270000,300000,90000,100000
2023-11-08,Kagera,Bukoba,100000,105000,220000,340000,170000,170000,170000,250000,160000,200000,200000,220000,200000,95000
2023-11-08,Mara,Musoma,98000,98000,200000,200000,130000,180000,180000,250000,180000,250000,NA,NA,260000,100000
2023-11-08,Manyara,Manyara,85000,108000,240000,320000,80000,90000,100000,120000,100000,120000,120000,130000,270000,300000,100000,105000
2023-11-08,Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
2023-11-08,Ruvuma,Songea,62000,65000,280000,320000,60000,60000,NA,NA,80000,80000,NA,NA,260000,280000,98000,94000
2023-11-08,Shinyanga,Shinyanga,110000,120000,220000,300000,78000,140000,78000,120000,150000,200000,NA,NA,270000,300000,120000,85000
2023-11-08,"Dar es saalam",Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,200000,NA,NA,290000,290000,100000,100000
2023-11-08,Mwanza,Mwanza,102000,110000,250000,320000,160000,200000,180000,180000,NA,NA,NA,NA,250000,330000,100000,100000
2023-11-08,Sumbawanga,Sumbawanga,65000,75000,190000,220000,NA,NA,NA,NA,180000,200000,NA,NA,150000,200000,75000,75000
