Date,Region,District,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-11-15,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,150000,150000,280000,350000,120000,110000
2023-11-15,Singida,Singida,67000,70000,200000,350000,90000,120000,60000,65000,150000,170000,NA,NA,250000,400000,90000,85000
2023-11-15,Arusha,Arusha,74000,75000,260000,340000,75000,80000,90000,95000,85000,87000,NA,NA,200000,270000,95000,85000
2023-11-15,Dodoma,Majengo,68000,76000,240000,290000,75000,85000,60000,75000,130000,145000,NA,NA,270000,300000,64000,84000
2023-11-15,Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,235000,290000,300000,72000,75500
2023-11-15,Mtwara,Mtwara Dc,85000,90000,250000,300000,150000,150000,100000,100000,150000,150000,180000,180000,320000,320000,50000,50000
2023-11-15,Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,60000,55000
2023-11-15,Tanga,Tanga,130000,130000,270000,270000,150000,150000,136000,136000,200000,200000,NA,NA,270000,270000,73000,73000
2023-11-15,Tabora,Tabora,96000,98000,220000,240000,160000,170000,190000,200000,190000,200000,NA,NA,260000,280000,90000,100000
2023-11-15,Kagera,Bukoba,100000,105000,220000,340000,170000,170000,160000,170000,200000,200000,NA,220000,200000,260000,95000
2023-11-15,Mara,Musoma,98000,98000,200000,200000,130000,180000,250000,180000,NA,230000,NA,NA,200000,200000,80000,100000
2023-11-15,Manyara,Manyara,85000,108000,240000,320000,80000,90000,100000,120000,100000,120000,120000,130000,270000,300000,100000,105000
2023-11-15,Mbeya,Mbeya,80000,250000,200000,200000,200000,200000,200000,200000,200000,200000,200000,200000,250000,80000
2023-11-15,Ruvuma,Songea,62000,68000,280000,320000,60000,60000,NA,NA,80000,80000,NA,NA,250000,280000,98000,94000
2023-11-15,Shinyanga,Shinyanga,110000,120000,220000,300000,78000,140000,78000,120000,150000,200000,NA,NA,270000,300000,120000,85000
2023-11-15,"Dar es saalam",Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,200000,NA,NA,290000,290000,100000,100000
2023-11-15,Mwanza,Mwanza,110000,110000,240000,320000,150000,200000,180000,180000,NA,NA,NA,NA,280000,330000,95000,100000
2023-11-15,Sumbawanga,Sumbawanga,65000,75000,190000,220000,NA,NA,NA,NA,NA,NA,NA,NA,150000,200000,75000,75000
