```csv
Date,Region,District/Market,Maize_MinPrice,Maize_MaxPrice,Rice_MinPrice,Rice_MaxPrice,Sorghum_MinPrice,Sorghum_MaxPrice,BulrushMillet_MinPrice,BulrushMillet_MaxPrice,FingerMillet_MinPrice,WheatGrain_MinPrice,WheatGrain_MaxPrice,Beans_MinPrice,Beans_MaxPrice,IrishPotatoes_MinPrice,IrishPotatoes_MaxPrice
2023-11-17,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,150000,200000,150000,280000,350000,110000,115000
2023-11-17,Singida,Singida,67000,75000,200000,260000,90000,120000,60000,86000,150000,NA,170000,90000,250000,400000,85000,90000
2023-11-17,Arusha,Arusha,70000,75000,350000,340000,75000,80000,65000,90000,85000,NA,NA,NA,200000,270000,85000,95000
2023-11-17,Dodoma,Majengo,68000,75000,240000,290000,75000,85000,60000,75000,130000,NA,NA,NA,270000,300000,64000,84000
2023-11-17,Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,235000,300000,310000,70000,72000
2023-11-17,Mtwara,Mtwara Dc,85000,90000,250000,300000,150000,150000,100000,100000,150000,180000,150000,180000,320000,320000,50000,50000
2023-11-17,Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,55000,60000
2023-11-17,Tanga,Tanga,130000,130000,270000,270000,150000,150000,136000,136000,200000,NA,NA,NA,270000,270000,70000,70000
2023-11-17,Tabora,Tabora,96000,98000,220000,240000,160000,170000,190000,200000,190000,NA,NA,NA,260000,280000,90000,100000
2023-11-17,Kagera,Bukoba,100000,105000,230000,340000,170000,180000,170000,180000,160000,200000,200000,220000,220000,260000,80000,95000
2023-11-17,Mara,Musoma,98000,98000,200000,200000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
2023-11-17,Manyara,Manyara,85000,108000,240000,320000,80000,90000,100000,120000,100000,120000,120000,130000,270000,300000,105000,100000
2023-11-17,Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,NA,NA,250000,250000,80000,80000
2023-11-17,Ruvuma,Songea,62000,68000,280000,320000,60000,60000,NA,NA,80000,200000,200000,NA,250000,280000,94000,98000
2023-11-17,Shinyanga,Shinyanga,110000,120000,220000,300000,75000,140000,75000,120000,150000,NA,NA,NA,270000,300000,85000,120000
2023-11-17,"Dar es saalam",Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,NA,NA,NA,290000,290000,100000,100000
2023-11-17,Mwanza,Mwanza,105000,110000,250000,300000,160000,200000,180000,NA,NA,NA,NA,NA,260000,330000,100000,100000
2023-11-17,Sumbawanga,Sumbawanga,65000,75000,190000,220000,NA,NA,NA,NA,180000,NA,NA,NA,150000,200000,75000,75000
```
