Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,200000,200000,280000,350000,110000,120000
Singida,Singida,65000,71000,200000,260000,90000,120000,60000,85000,150000,170000,NA,NA,250000,400000,80000,90000
Arusha,Arusha,70000,72000,350000,340000,75000,80000,65000,87000,80000,83000,NA,NA,200000,250000,85000,90000
Dodoma,Majengo,65000,72000,240000,295000,72000,85000,65000,75000,132000,145000,NA,NA,275000,300000,64500,84000
Morogoro,Morogoro,75800,78200,320000,340000,145000,150000,120000,130000,150000,160000,230000,235000,300000,310000,71800,73000
Mtwara,Mtwara Dc,75000,90000,250000,300000,150000,150000,100000,100000,150000,150000,180000,180000,320000,320000,40000,50000
Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,55000,60000
Tanga,Tanga,140000,140000,260000,260000,150000,150000,136000,136000,200000,200000,NA,NA,270000,270000,70000,70000
Tabora,Tabora,96000,98000,220000,240000,160000,170000,190000,200000,190000,200000,NA,NA,260000,280000,90000,100000
Kagera,Bukoba,100000,105000,230000,340000,170000,180000,170000,180000,160000,180000,220000,200000,210000,250000,80000,95000
Mara,Musoma,98000,98000,200000,200000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
Manyara,Manyara,85000,108000,240000,320000,80000,90000,100000,120000,100000,120000,130000,120000,240000,280000,95000,95000
Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,NA,NA,250000,250000,80000,80000
Ruvuma,Songea,62000,68000,280000,320000,60000,60000,NA,NA,80000,80000,200000,200000,250000,280000,94000,98000
Shinyanga,Shinyanga,110000,120000,220000,300000,75000,140000,75000,120000,150000,200000,NA,NA,270000,300000,85000,120000
Dar es saalam,Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,200000,NA,NA,290000,290000,100000,100000
Mwanza,Mwanza,105000,110000,250000,300000,160000,200000,180000,180000,NA,NA,NA,NA,260000,330000,100000,100000
Sumbawanga,Sumbawanga,65000,75000,190000,220000,NA,NA,NA,NA,180000,200000,NA,NA,150000,200000,75000,75000
