Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-11-24,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,200000,200000,280000,350000,110000,120000
2023-11-24,Singida,Singida,65000,71000,200000,260000,90000,120000,60000,85000,150000,170000,NA,NA,83000,250000,80000,90000
2023-11-24,Arusha,Arusha,70000,72000,350000,340000,75000,80000,65000,87000,80000,NA,NA,400000,NA,85000,90000
2023-11-24,Dodoma,Majengo,65000,72000,240000,295000,72000,85000,65000,75000,132000,145000,NA,NA,275000,300000,64500,84000
2023-11-24,Morogoro,Morogoro,75800,78000,320000,340000,145000,150000,120000,130000,150000,230000,235000,160000,300000,310000,68000,70000
2023-11-24,Mtwara,Mtwara Dc,75000,90000,250000,300000,150000,150000,100000,100000,150000,180000,150000,180000,320000,320000,40000,50000
2023-11-24,Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,NA,NA,200000,240000,300000,55000,60000
2023-11-24,Tanga,Tanga,100000,100000,270000,270000,120000,120000,136000,136000,200000,200000,NA,NA,270000,270000,70000,70000
2023-11-24,Tabora,Tabora,96000,98000,220000,240000,160000,170000,190000,200000,190000,NA,200000,NA,260000,280000,90000,100000
2023-11-24,Kagera,Bukoba,100000,105000,220000,340000,170000,180000,170000,180000,160000,180000,210000,220000,210000,250000,85000,95000
2023-11-24,Mara,Musoma,95000,95000,200000,200000,130000,130000,250000,250000,250000,NA,250000,NA,200000,200000,100000,100000
2023-11-24,Manyara,Manyara,80000,102000,240000,320000,80000,90000,100000,120000,100000,130000,120000,120000,270000,300000,110000,110000
2023-11-24,Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
2023-11-24,Ruvuma,Songea,57000,60000,280000,320000,60000,60000,NA,NA,NA,NA,80000,NA,280000,300000,92000,92000
2023-11-24,Shinyanga,Shinyanga,110000,120000,220000,300000,80000,150000,75000,150000,150000,180000,NA,NA,270000,300000,85000,110000
2023-11-24,Dar es saalam,Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,NA,200000,NA,290000,290000,100000,100000
2023-11-24,Mwanza,Mwanza,105000,110000,250000,300000,160000,200000,180000,NA,NA,NA,NA,NA,260000,330000,100000,100000
2023-11-24,Sumbawanga,Sumbawanga,65000,75000,190000,220000,NA,NA,180000,NA,NA,180000,NA,200000,170000,210000,75000,75000
