Date,Region,District / Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Millet Min Price,Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
27 NOVEMBA 2023,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,200000,200000,280000,350000,110000,120000
27 NOVEMBA 2023,Singida,Singida,65000,70000,200000,260000,90000,120000,60000,85000,150000,170000,NA,NA,250000,400000,80000,90000
27 NOVEMBA 2023,Arusha,Arusha,70000,71500,350000,340000,75000,80000,65000,87000,80000,NA,83000,NA,190000,250000,85000,90000
27 NOVEMBA 2023,Dodoma,Majengo,67000,72000,240000,295000,72000,84000,65000,78000,133000,145000,NA,NA,280000,300000,64500,84000
27 NOVEMBA 2023,Morogoro,Morogoro,75800,78000,320000,340000,145000,150000,120000,130000,150000,230000,160000,235000,300000,310000,66000,68000
27 NOVEMBA 2023,Mtwara,Mtwara Dc,75000,90000,250000,300000,150000,150000,100000,100000,150000,180000,150000,180000,320000,320000,40000,50000
27 NOVEMBA 2023,Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,NA,200000,NA,240000,300000,55000,60000
27 NOVEMBA 2023,Tanga,Tanga,100000,100000,270000,270000,130000,130000,136000,136000,180000,180000,NA,NA,270000,270000,70000,70000
27 NOVEMBA 2023,Tabora,Tabora,96000,98000,210000,240000,160000,170000,190000,200000,190000,NA,200000,NA,270000,280000,90000,100000
27 NOVEMBA 2023,Kagera,Bukoba,100000,105000,220000,340000,170000,180000,170000,180000,160000,180000,210000,220000,210000,250000,85000,95000
27 NOVEMBA 2023,Mara,Musoma,90000,90000,190000,190000,130000,130000,250000,250000,250000,NA,250000,NA,200000,200000,100000,100000
27 NOVEMBA 2023,Manyara,Manyara,80000,102000,240000,320000,80000,90000,100000,120000,100000,130000,120000,120000,270000,300000,110000,110000
27 NOVEMBA 2023,Mbeya,Mbeya,80000,80000,250000,250000,200000,200000,200000,200000,200000,NA,200000,NA,250000,250000,80000,80000
27 NOVEMBA 2023,Ruvuma,Songea,57000,62000,280000,320000,60000,60000,NA,NA,80000,200000,NA,NA,280000,300000,80000,92000
27 NOVEMBA 2023,Shinyanga,Shinyanga,110000,120000,220000,300000,80000,150000,75000,150000,150000,180000,NA,NA,270000,300000,85000,110000
27 NOVEMBA 2023,"Dar es saalam",Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,NA,200000,NA,290000,290000,100000,100000
27 NOVEMBA 2023,Mwanza,Mwanza,105000,110000,250000,300000,160000,200000,180000,NA,NA,NA,NA,260000,330000,100000,100000
27 NOVEMBA 2023,Sumbawanga,Sumbawanga,65000,75000,190000,220000,NA,NA,NA,NA,180000,NA,200000,NA,170000,210000,75000,75000
