Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
13 DISEMBA, 2023,Kilimanjaro,Moshi,90000,95000,250000,350000,NA,NA,NA,NA,200000,200000,200000,200000,280000,350000,120000,110000
13 DISEMBA, 2023,Singida,Singida,65000,73000,200000,260000,120000,200000,80000,80000,NA,NA,260000,400000,85000,70000
13 DISEMBA, 2023,Arusha,Arusha,70000,75000,350000,300000,75000,80000,82000,95000,80000,80000,190000,250000,80000,80000
13 DISEMBA, 2023,Dodoma,Majengo,72000,73000,240000,290000,70000,75000,65000,68000,80000,85500,NA,NA,280000,295000,65000,74000
13 DISEMBA, 2023,Morogoro,Morogoro,75800,78200,200000,340000,120000,140000,120000,130000,120000,130000,230000,235000,260000,310000,61800,71000
13 DISEMBA, 2023,Mtwara,Mtwara Dc,95000,100000,250000,320000,150000,150000,150000,200000,120000,120000,NA,NA,320000,320000,40000,60000
13 DISEMBA, 2023,Iringa,Iringa,70000,80000,250000,300000,150000,200000,200000,200000,200000,200000,NA,NA,240000,300000,40000,55000
13 DISEMBA, 2023,Tanga,Tanga,100000,100000,270000,270000,150000,150000,136000,136000,200000,200000,NA,NA,270000,270000,75000,75000
13 DISEMBA, 2023,Tabora,Tabora,78000,82000,210000,300000,150000,160000,180000,190000,180000,190000,NA,NA,280000,310000,90000,85000
13 DISEMBA, 2023,Kagera,Bukoba,85000,100000,240000,350000,170000,180000,160000,180000,160000,180000,200000,220000,200000,260000,100000,80000
13 DISEMBA, 2023,Mara,Musoma,90000,90000,190000,190000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
13 DISEMBA, 2023,Manyara,Manyara,80000,102000,240000,300000,80000,90000,100000,120000,100000,120000,120000,130000,240000,270000,95000,95000
13 DISEMBA, 2023,Mbeya,Mbeya,80000,80000,270000,270000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
13 DISEMBA, 2023,Ruvuma,Songea,50000,56000,270000,320000,60000,60000,NA,NA,80000,80000,NA,NA,280000,300000,95000,93000
13 DISEMBA, 2023,Shinyanga,Shinyanga,100000,120000,220000,300000,70000,80000,70000,200000,120000,170000,NA,NA,260000,300000,75000,110000
13 DISEMBA, 2023,"Dar es saalam",Ilala,100000,100000,240000,240000,180000,180000,180000,180000,200000,200000,NA,NA,290000,290000,100000,100000
13 DISEMBA, 2023,Mwanza,Mwanza,75000,90000,220000,280000,130000,180000,NA,NA,NA,NA,180000,190000,245000,280000,90000,75000
13 DISEMBA, 2023,Rukwa,Sumbawanga,65000,70000,195000,220000,NA,NA,NA,NA,NA,NA,180000,250000,180000,260000,75000,75000
