Date,Region,District/Market,Maize Min Price,Maize Max Price,Rice Min Price,Rice Max Price,Sorghum Min Price,Sorghum Max Price,Bulrush Millet Min Price,Bulrush Millet Max Price,Finger Millet Min Price,Finger Millet Max Price,Wheat Grain Min Price,Wheat Grain Max Price,Beans Min Price,Beans Max Price,Irish Potatoes Min Price,Irish Potatoes Max Price
2023-12-18,Kilimanjaro,Moshi,85000,85000,220000,220000,NA,NA,NA,NA,180000,180000,200000,200000,280000,280000,85000,85000
2023-12-18,Singida,Singida,70000,75000,200000,350000,90000,120000,80000,85000,90000,120000,NA,NA,260000,400000,85000,90000
2023-12-18,Arusha,Arusha,73000,76000,260000,300000,75000,80000,82000,85000,80000,NA,190000,250000,70000,80000
2023-12-18,Dodoma,Majengo,75000,95000,235000,295000,73000,84000,73000,78000,113000,125000,NA,270000,300000,58000,82000
2023-12-18,Morogoro,Morogoro,105000,110000,220000,340000,120000,140000,120000,130000,120000,130000,230000,235000,260000,310000,64000,66000
2023-12-18,Mtwara,Mtwara Dc,85000,100000,250000,320000,150000,150000,150000,150000,120000,120000,NA,NA,320000,320000,40000,40000
2023-12-18,Iringa,Iringa,70000,80000,250000,300000,150000,150000,200000,200000,200000,200000,NA,NA,240000,300000,55000,60000
2023-12-18,Tanga,Tanga,100000,100000,270000,270000,150000,150000,136000,136000,200000,200000,NA,NA,270000,270000,75000,75000
2023-12-18,Tabora,Tabora,78000,82000,210000,300000,150000,180000,180000,190000,180000,NA,280000,260000,85000,90000
2023-12-18,Kagera,Bukoba,80000,95000,200000,350000,170000,160000,160000,180000,160000,200000,260000,310000,80000,100000
2023-12-18,Mara,Musoma,90000,90000,190000,190000,130000,130000,250000,250000,250000,250000,NA,NA,200000,200000,100000,100000
2023-12-18,Manyara,Manyara,80000,102000,240000,300000,80000,90000,100000,120000,100000,120000,120000,130000,240000,270000,90000,90000
2023-12-18,Mbeya,Mbeya,80000,80000,270000,270000,200000,200000,200000,200000,200000,200000,200000,200000,250000,250000,80000,80000
2023-12-18,Ruvuma,Songea,50000,55000,250000,320000,60000,60000,NA,NA,80000,80000,NA,NA,270000,300000,93000,95000
2023-12-18,Shinyanga,Shinyanga,100000,120000,220000,300000,70000,150000,70000,200000,120000,170000,NA,NA,260000,280000,75000,80000
2023-12-18,"Dar es saalam",Ilala,73000,75000,220000,330000,NA,NA,NA,NA,NA,NA,NA,NA,320000,330000,53000,58000
2023-12-18,Mwanza,Mwanza,75000,95000,240000,300000,130000,180000,140000,180000,180000,180000,NA,NA,250000,300000,100000,100000
2023-12-18,Pwani,Pwani,110000,114000,200000,270000,NA,NA,82000,83000,83000,85000,NA,NA,280000,300000,85000,90000
2023-12-18,Simiyu,Bariadi TC,84000,85000,200000,210000,120000,130000,170000,200000,180000,200000,160000,170000,280000,300000,75000,75000
2023-12-18,Kigoma,Kigoma,72200,72000,250000,250000,100000,100000,100000,100000,NA,NA,160000,NA,230000,230000,90000,90000
2023-12-18,Rukwa,Sumbawanga,65000,65000,230000,230000,NA,NA,NA,NA,NA,NA,240000,200000,200000,220000,75000,75000
